onset	duration	sample	type	value
6.757	n/a	6758	STI101	50
8.991	n/a	8992	STI101	55
9.735	n/a	9736	STI101	16384
11.005	n/a	11006	STI101	50
13.49	n/a	13491	STI101	55
14.3	n/a	14301	STI101	16384
15.885	n/a	15886	STI101	40
18.2	n/a	18201	STI101	45
20.435	n/a	20436	STI101	35
22.81	n/a	22811	STI101	40
25.265	n/a	25266	STI101	35
27.64	n/a	27641	STI101	45
29.855	n/a	29856	STI101	35
32.14	n/a	32141	STI101	35
34.154	n/a	34155	STI101	35
36.249	n/a	36250	STI101	40
38.564	n/a	38565	STI101	35
40.588	n/a	40589	STI101	50
42.753	n/a	42754	STI101	45
44.857	n/a	44858	STI101	35
47.162	n/a	47163	STI101	45
49.397	n/a	49398	STI101	45
51.832	n/a	51833	STI101	45
54.277	n/a	54278	STI101	40
56.743	n/a	56744	STI101	40
58.877	n/a	58878	STI101	40
61.272	n/a	61273	STI101	35
63.617	n/a	63618	STI101	55
64.287	n/a	64288	STI101	16384
65.672	n/a	65673	STI101	35
67.997	n/a	67998	STI101	35
70.322	n/a	70323	STI101	40
72.436	n/a	72437	STI101	50
74.461	n/a	74462	STI101	45
76.545	n/a	76546	STI101	55
77.082	n/a	77083	STI101	16384
78.659	n/a	78660	STI101	35
81.145	n/a	81146	STI101	50
83.159	n/a	83160	STI101	40
85.193	n/a	85194	STI101	45
87.558	n/a	87559	STI101	40
89.873	n/a	89874	STI101	55
90.419	n/a	90420	STI101	16384
92.309	n/a	92310	STI101	55
93.287	n/a	93288	STI101	16384
94.443	n/a	94444	STI101	45
96.748	n/a	96749	STI101	55
97.515	n/a	97516	STI101	16384
98.793	n/a	98794	STI101	45
101.107	n/a	101108	STI101	55
101.823	n/a	101824	STI101	16384
103.563	n/a	103564	STI101	40
105.878	n/a	105879	STI101	50
108.042	n/a	108043	STI101	40
110.127	n/a	110128	STI101	40
112.241	n/a	112242	STI101	40
114.516	n/a	114517	STI101	40
116.761	n/a	116762	STI101	50
119.246	n/a	119247	STI101	55
120.113	n/a	120114	STI101	16384
121.441	n/a	121442	STI101	40
123.545	n/a	123546	STI101	45
125.951	n/a	125952	STI101	40
128.406	n/a	128407	STI101	35
130.791	n/a	130792	STI101	50
133.266	n/a	133267	STI101	40
135.561	n/a	135562	STI101	45
137.926	n/a	137927	STI101	40
140.191	n/a	140192	STI101	40
142.686	n/a	142687	STI101	40
144.971	n/a	144972	STI101	35
147.286	n/a	147287	STI101	45
149.391	n/a	149392	STI101	35
151.675	n/a	151676	STI101	32
151.676	n/a	151677	STI101	45
153.79	n/a	153791	STI101	40
155.915	n/a	155916	STI101	35
158.089	n/a	158090	STI101	35
160.424	n/a	160425	STI101	55
161.151	n/a	161152	STI101	16384
162.649	n/a	162650	STI101	55
163.579	n/a	163580	STI101	16384
165.124	n/a	165125	STI101	50
167.349	n/a	167350	STI101	45
169.684	n/a	169685	STI101	40
171.758	n/a	171759	STI101	55
172.661	n/a	172662	STI101	16384
174.063	n/a	174064	STI101	40
176.478	n/a	176479	STI101	55
177.429	n/a	177430	STI101	16384
178.573	n/a	178574	STI101	55
179.369	n/a	179370	STI101	16384
180.958	n/a	180959	STI101	35
183.093	n/a	183094	STI101	55
183.907	n/a	183908	STI101	16384
185.598	n/a	185599	STI101	50
187.863	n/a	187864	STI101	35
