onset	duration	sample	type	value
9.072	n/a	9073	STI101	55
11.547	n/a	11548	STI101	55
11.988	n/a	11989	STI101	16384
13.972	n/a	13973	STI101	40
16.377	n/a	16378	STI101	40
18.472	n/a	18473	STI101	45
20.787	n/a	20788	STI101	40
22.831	n/a	22832	STI101	40
25.066	n/a	25067	STI101	40
27.18	n/a	27181	STI101	55
27.532	n/a	27533	STI101	16384
29.676	n/a	29677	STI101	40
31.941	n/a	31942	STI101	40
33.985	n/a	33986	STI101	55
34.326	n/a	34327	STI101	16384
36.009	n/a	36010	STI101	35
38.384	n/a	38385	STI101	50
38.771	n/a	38772	STI101	16384
40.519	n/a	40520	STI101	45
42.623	n/a	42624	STI101	50
45.079	n/a	45080	STI101	55
45.474	n/a	45475	STI101	16384
47.484	n/a	47485	STI101	55
47.92	n/a	47921	STI101	16384
49.889	n/a	49890	STI101	35
51.913	n/a	51914	STI101	55
52.294	n/a	52295	STI101	16384
54.358	n/a	54359	STI101	45
56.643	n/a	56644	STI101	40
59.038	n/a	59039	STI101	50
61.053	n/a	61054	STI101	40
61.483	n/a	61484	STI101	16384
63.207	n/a	63208	STI101	55
63.582	n/a	63583	STI101	16384
65.703	n/a	65704	STI101	55
66.24	n/a	66241	STI101	16384
68.028	n/a	68029	STI101	40
70.132	n/a	70133	STI101	35
72.247	n/a	72248	STI101	55
72.72	n/a	72721	STI101	16384
74.622	n/a	74623	STI101	40
76.856	n/a	76857	STI101	40
79.071	n/a	79072	STI101	35
81.436	n/a	81437	STI101	55
81.823	n/a	81824	STI101	16384
83.601	n/a	83602	STI101	45
85.896	n/a	85897	STI101	35
88.221	n/a	88222	STI101	40
90.496	n/a	90497	STI101	40
92.67	n/a	92671	STI101	35
95.045	n/a	95046	STI101	50
97.491	n/a	97492	STI101	55
97.916	n/a	97917	STI101	16384
99.846	n/a	99847	STI101	40
102.12	n/a	102121	STI101	55
102.558	n/a	102559	STI101	16384
104.375	n/a	104376	STI101	45
106.56	n/a	106561	STI101	35
108.995	n/a	108996	STI101	55
109.363	n/a	109364	STI101	16384
111.5	n/a	111501	STI101	35
113.665	n/a	113666	STI101	35
115.709	n/a	115710	STI101	55
116.106	n/a	116107	STI101	16384
117.914	n/a	117915	STI101	40
120.039	n/a	120040	STI101	40
122.464	n/a	122465	STI101	35
124.939	n/a	124940	STI101	45
127.364	n/a	127365	STI101	55
127.771	n/a	127772	STI101	16384
129.8	n/a	129801	STI101	35
132.024	n/a	132025	STI101	55
132.385	n/a	132386	STI101	16384
134.209	n/a	134210	STI101	35
136.213	n/a	136214	STI101	50
138.358	n/a	138359	STI101	35
140.482	n/a	140483	STI101	40
142.587	n/a	142588	STI101	35
144.972	n/a	144973	STI101	35
147.477	n/a	147478	STI101	55
147.897	n/a	147898	STI101	16384
149.502	n/a	149503	STI101	40
151.807	n/a	151808	STI101	35
154.162	n/a	154163	STI101	55
154.543	n/a	154544	STI101	16384
156.667	n/a	156668	STI101	55
157.172	n/a	157173	STI101	16384
158.842	n/a	158843	STI101	35
161.086	n/a	161087	STI101	40
163.211	n/a	163212	STI101	45
165.486	n/a	165487	STI101	55
165.941	n/a	165942	STI101	16384
167.58	n/a	167581	STI101	55
168.071	n/a	168072	STI101	16384
170.046	n/a	170047	STI101	35
172.24	n/a	172241	STI101	40
174.575	n/a	174576	STI101	35
176.95	n/a	176951	STI101	50
179.015	n/a	179016	STI101	50
181.46	n/a	181461	STI101	35
183.955	n/a	183956	STI101	40
186.421	n/a	186422	STI101	40
188.605	n/a	188606	STI101	35
190.64	n/a	190641	STI101	40
192.754	n/a	192755	STI101	55
193.169	n/a	193170	STI101	16384
195.219	n/a	195220	STI101	55
195.683	n/a	195684	STI101	16384
197.294	n/a	197295	STI101	40
199.789	n/a	199790	STI101	45
201.914	n/a	201915	STI101	35
204.138	n/a	204139	STI101	50
206.183	n/a	206184	STI101	55
206.589	n/a	206590	STI101	16384
208.488	n/a	208489	STI101	35
210.532	n/a	210533	STI101	40
212.997	n/a	212998	STI101	35
215.332	n/a	215333	STI101	50
217.487	n/a	217488	STI101	45
219.742	n/a	219743	STI101	55
220.116	n/a	220117	STI101	16384
222.167	n/a	222168	STI101	35
224.522	n/a	224523	STI101	45
226.907	n/a	226908	STI101	55
227.245	n/a	227246	STI101	16384
229.222	n/a	229223	STI101	35
231.517	n/a	231518	STI101	40
233.651	n/a	233652	STI101	55
234.046	n/a	234047	STI101	16384
236.107	n/a	236108	STI101	40
238.592	n/a	238593	STI101	55
239.022	n/a	239023	STI101	16384
240.646	n/a	240647	STI101	40
242.921	n/a	242922	STI101	55
243.335	n/a	243336	STI101	16384
245.046	n/a	245047	STI101	40
247.261	n/a	247262	STI101	35
249.385	n/a	249386	STI101	55
249.772	n/a	249773	STI101	16384
251.72	n/a	251721	STI101	40
253.744	n/a	253745	STI101	40
256.15	n/a	256151	STI101	50
258.354	n/a	258355	STI101	55
259.191	n/a	259192	STI101	16384
260.409	n/a	260410	STI101	55
260.897	n/a	260898	STI101	16384
262.894	n/a	262895	STI101	40
265.249	n/a	265250	STI101	40
267.364	n/a	267365	STI101	45
269.458	n/a	269459	STI101	55
269.799	n/a	269800	STI101	16384
271.633	n/a	271634	STI101	55
272.096	n/a	272097	STI101	16384
273.747	n/a	273748	STI101	40
275.962	n/a	275963	STI101	40
278.317	n/a	278318	STI101	50
280.472	n/a	280473	STI101	45
282.947	n/a	282948	STI101	35
285.202	n/a	285203	STI101	35
287.356	n/a	287357	STI101	35
289.842	n/a	289843	STI101	35
291.866	n/a	291867	STI101	55
292.357	n/a	292358	STI101	16384
294.041	n/a	294042	STI101	55
294.445	n/a	294446	STI101	16384
296.536	n/a	296537	STI101	55
296.924	n/a	296925	STI101	16384
298.831	n/a	298832	STI101	35
301.045	n/a	301046	STI101	55
301.482	n/a	301483	STI101	16384
303.29	n/a	303291	STI101	45
305.445	n/a	305446	STI101	55
305.894	n/a	305895	STI101	16384
307.539	n/a	307540	STI101	35
