onset	duration	sample	type	value
1.696	n/a	1697	STI101	15
3.991	n/a	3992	STI101	15
6.025	n/a	6026	STI101	10
8.35	n/a	8351	STI101	25
10.615	n/a	10616	STI101	25
13.11	n/a	13111	STI101	10
15.175	n/a	15176	STI101	10
17.35	n/a	17351	STI101	30
17.747	n/a	17748	STI101	16384
19.725	n/a	19726	STI101	30
20.042	n/a	20043	STI101	16384
22.23	n/a	22231	STI101	10
24.705	n/a	24706	STI101	10
26.79	n/a	26791	STI101	10
28.884	n/a	28885	STI101	30
29.162	n/a	29163	STI101	16384
30.908	n/a	30909	STI101	20
33.354	n/a	33355	STI101	25
35.689	n/a	35690	STI101	10
37.934	n/a	37935	STI101	10
40.158	n/a	40159	STI101	10
42.583	n/a	42584	STI101	15
44.989	n/a	44990	STI101	25
47.113	n/a	47114	STI101	10
49.398	n/a	49399	STI101	25
51.603	n/a	51604	STI101	15
54.038	n/a	54039	STI101	30
54.455	n/a	54456	STI101	16384
56.473	n/a	56474	STI101	20
58.548	n/a	58549	STI101	20
61.033	n/a	61034	STI101	10
63.498	n/a	63499	STI101	30
63.9	n/a	63901	STI101	16384
65.522	n/a	65523	STI101	25
67.928	n/a	67929	STI101	15
70.423	n/a	70424	STI101	10
72.467	n/a	72468	STI101	10
74.722	n/a	74723	STI101	20
77.157	n/a	77158	STI101	10
79.402	n/a	79403	STI101	30
79.702	n/a	79703	STI101	16384
81.426	n/a	81427	STI101	10
83.481	n/a	83482	STI101	15
85.876	n/a	85877	STI101	10
88.051	n/a	88052	STI101	10
90.185	n/a	90186	STI101	30
90.607	n/a	90608	STI101	16384
92.57	n/a	92571	STI101	10
94.745	n/a	94746	STI101	10
97.08	n/a	97081	STI101	15
99.114	n/a	99115	STI101	30
99.472	n/a	99473	STI101	16384
101.159	n/a	101160	STI101	10
103.453	n/a	103454	STI101	15
105.568	n/a	105569	STI101	10
107.733	n/a	107734	STI101	15
110.047	n/a	110048	STI101	12
110.048	n/a	110049	STI101	15
112.282	n/a	112283	STI101	10
114.597	n/a	114598	STI101	25
117.052	n/a	117053	STI101	30
117.367	n/a	117368	STI101	16384
119.127	n/a	119128	STI101	20
121.512	n/a	121513	STI101	15
123.877	n/a	123878	STI101	10
126.352	n/a	126353	STI101	10
128.447	n/a	128448	STI101	10
130.672	n/a	130673	STI101	10
132.716	n/a	132717	STI101	10
134.84	n/a	134841	STI101	20
137.195	n/a	137196	STI101	25
139.601	n/a	139602	STI101	30
139.973	n/a	139974	STI101	16384
141.976	n/a	141977	STI101	25
150.722	n/a	150723	STI101	201
155.604	n/a	155605	STI101	201
