onset	duration	sample	type	value
11.6	n/a	11601	STI101	30
11.98	n/a	11981	STI101	16384
13.683	n/a	13684	STI101	20
15.798	n/a	15799	STI101	15
18.253	n/a	18254	STI101	25
20.297	n/a	20298	STI101	10
22.432	n/a	22433	STI101	15
24.466	n/a	24467	STI101	10
26.691	n/a	26692	STI101	30
27.198	n/a	27199	STI101	16384
28.705	n/a	28706	STI101	25
31.16	n/a	31161	STI101	15
33.265	n/a	33266	STI101	30
33.829	n/a	33830	STI101	16384
35.319	n/a	35320	STI101	10
37.484	n/a	37485	STI101	15
39.719	n/a	39720	STI101	15
41.783	n/a	41784	STI101	30
42.299	n/a	42300	STI101	16384
44.289	n/a	44290	STI101	15
46.463	n/a	46464	STI101	30
46.983	n/a	46984	STI101	16384
48.618	n/a	48619	STI101	10
50.662	n/a	50663	STI101	25
52.817	n/a	52818	STI101	10
54.851	n/a	54852	STI101	10
57.116	n/a	57117	STI101	25
59.501	n/a	59502	STI101	10
61.826	n/a	61827	STI101	15
63.88	n/a	63881	STI101	30
64.384	n/a	64385	STI101	16384
65.925	n/a	65926	STI101	15
68.32	n/a	68321	STI101	20
70.785	n/a	70786	STI101	15
73.06	n/a	73061	STI101	30
73.741	n/a	73742	STI101	16384
75.124	n/a	75125	STI101	10
77.55	n/a	77551	STI101	30
78.255	n/a	78256	STI101	16384
79.724	n/a	79725	STI101	10
81.879	n/a	81880	STI101	10
84.264	n/a	84265	STI101	30
84.74	n/a	84741	STI101	16384
86.278	n/a	86279	STI101	30
86.79	n/a	86791	STI101	16384
88.313	n/a	88314	STI101	30
88.879	n/a	88880	STI101	16384
90.658	n/a	90659	STI101	15
92.972	n/a	92973	STI101	10
95.247	n/a	95248	STI101	10
97.622	n/a	97623	STI101	30
98.129	n/a	98130	STI101	16384
99.987	n/a	99988	STI101	25
102.383	n/a	102384	STI101	20
104.537	n/a	104538	STI101	25
106.892	n/a	106893	STI101	15
109.177	n/a	109178	STI101	10
111.382	n/a	111383	STI101	10
113.426	n/a	113427	STI101	15
115.821	n/a	115822	STI101	15
117.996	n/a	117997	STI101	30
118.472	n/a	118473	STI101	16384
120.311	n/a	120312	STI101	15
122.686	n/a	122687	STI101	30
123.141	n/a	123142	STI101	16384
124.75	n/a	124751	STI101	10
126.825	n/a	126826	STI101	10
129.11	n/a	129111	STI101	10
131.365	n/a	131366	STI101	25
133.82	n/a	133821	STI101	20
136.225	n/a	136226	STI101	20
138.6	n/a	138601	STI101	25
140.634	n/a	140635	STI101	20
142.679	n/a	142680	STI101	10
144.733	n/a	144734	STI101	15
147.138	n/a	147139	STI101	15
149.614	n/a	149615	STI101	10
151.969	n/a	151970	STI101	15
154.043	n/a	154044	STI101	30
154.87	n/a	154871	STI101	16384
156.418	n/a	156419	STI101	30
156.973	n/a	156974	STI101	16384
158.482	n/a	158483	STI101	20
160.547	n/a	160548	STI101	30
161.085	n/a	161086	STI101	16384
162.872	n/a	162873	STI101	25
165.046	n/a	165047	STI101	15
167.381	n/a	167382	STI101	15
169.767	n/a	169768	STI101	10
172.072	n/a	172073	STI101	15
174.447	n/a	174448	STI101	25
176.571	n/a	176572	STI101	15
178.946	n/a	178947	STI101	15
181.442	n/a	181443	STI101	25
183.887	n/a	183888	STI101	10
185.941	n/a	185942	STI101	30
186.35	n/a	186351	STI101	16384
188.136	n/a	188137	STI101	10
190.331	n/a	190332	STI101	20
192.686	n/a	192687	STI101	20
194.99	n/a	194991	STI101	15
197.396	n/a	197397	STI101	30
197.851	n/a	197852	STI101	16384
199.59	n/a	199591	STI101	30
200.146	n/a	200147	STI101	16384
201.705	n/a	201706	STI101	10
203.759	n/a	203760	STI101	30
204.454	n/a	204455	STI101	16384
206.154	n/a	206155	STI101	10
208.269	n/a	208270	STI101	15
210.474	n/a	210475	STI101	10
212.758	n/a	212759	STI101	10
214.883	n/a	214884	STI101	15
217.208	n/a	217209	STI101	30
217.685	n/a	217686	STI101	16384
219.463	n/a	219464	STI101	15
221.547	n/a	221548	STI101	25
223.942	n/a	223943	STI101	15
225.997	n/a	225998	STI101	15
228.151	n/a	228152	STI101	20
230.276	n/a	230277	STI101	15
232.551	n/a	232552	STI101	30
232.968	n/a	232969	STI101	16384
234.605	n/a	234606	STI101	15
236.82	n/a	236821	STI101	10
238.884	n/a	238885	STI101	30
239.54	n/a	239541	STI101	16384
240.949	n/a	240950	STI101	30
241.436	n/a	241437	STI101	16384
243.354	n/a	243355	STI101	15
245.508	n/a	245509	STI101	10
247.823	n/a	247824	STI101	20
250.319	n/a	250320	STI101	10
252.543	n/a	252544	STI101	25
254.899	n/a	254900	STI101	25
257.284	n/a	257285	STI101	20
259.508	n/a	259509	STI101	10
261.843	n/a	261844	STI101	15
263.908	n/a	263909	STI101	20
266.383	n/a	266384	STI101	15
268.488	n/a	268489	STI101	15
270.632	n/a	270633	STI101	15
273.037	n/a	273038	STI101	30
273.655	n/a	273656	STI101	16384
275.292	n/a	275293	STI101	15
277.687	n/a	277688	STI101	20
279.892	n/a	279893	STI101	10
282.036	n/a	282037	STI101	15
284.061	n/a	284062	STI101	10
286.406	n/a	286407	STI101	15
288.631	n/a	288632	STI101	15
290.865	n/a	290866	STI101	15
293.18	n/a	293181	STI101	30
293.646	n/a	293647	STI101	16384
295.215	n/a	295216	STI101	25
297.379	n/a	297380	STI101	30
297.962	n/a	297963	STI101	16384
299.774	n/a	299775	STI101	30
300.384	n/a	300385	STI101	16384
302.129	n/a	302130	STI101	30
302.63	n/a	302631	STI101	16384
304.204	n/a	304205	STI101	15
306.278	n/a	306279	STI101	20
308.333	n/a	308334	STI101	10
310.347	n/a	310348	STI101	10
312.572	n/a	312573	STI101	10
314.907	n/a	314908	STI101	10
317.282	n/a	317283	STI101	30
317.825	n/a	317826	STI101	16384
319.557	n/a	319558	STI101	10
321.621	n/a	321622	STI101	10
323.946	n/a	323947	STI101	20
326.02	n/a	326021	STI101	10
328.095	n/a	328096	STI101	30
328.7	n/a	328701	STI101	16384
330.149	n/a	330150	STI101	30
330.757	n/a	330758	STI101	16384
332.234	n/a	332235	STI101	10
334.328	n/a	334329	STI101	15
336.433	n/a	336434	STI101	25
338.597	n/a	338598	STI101	20
340.762	n/a	340763	STI101	30
341.369	n/a	341370	STI101	16384
342.876	n/a	342877	STI101	15
345.011	n/a	345012	STI101	10
347.466	n/a	347467	STI101	20
349.831	n/a	349832	STI101	15
352.116	n/a	352117	STI101	15
354.221	n/a	354222	STI101	20
356.335	n/a	356336	STI101	30
356.904	n/a	356905	STI101	16384
358.38	n/a	358381	STI101	30
358.942	n/a	358943	STI101	16384
360.845	n/a	360846	STI101	15
363.21	n/a	363211	STI101	30
363.797	n/a	363798	STI101	16384
365.495	n/a	365496	STI101	25
367.659	n/a	367660	STI101	30
368.202	n/a	368203	STI101	16384
369.754	n/a	369755	STI101	30
370.336	n/a	370337	STI101	16384
372.079	n/a	372080	STI101	25
374.584	n/a	374585	STI101	25
376.679	n/a	376680	STI101	10
378.813	n/a	378814	STI101	10
381.018	n/a	381019	STI101	25
383.062	n/a	383063	STI101	10
