onset	duration	sample	type	value
5.189	n/a	5190	STI101	30
5.79	n/a	5791	STI101	16384
7.394	n/a	7395	STI101	10
9.799	n/a	9800	STI101	30
10.226	n/a	10227	STI101	16384
12.004	n/a	12005	STI101	10
14.389	n/a	14390	STI101	30
14.786	n/a	14787	STI101	16384
16.543	n/a	16544	STI101	20
18.868	n/a	18869	STI101	10
21.324	n/a	21325	STI101	15
23.438	n/a	23439	STI101	15
25.683	n/a	25684	STI101	30
26.163	n/a	26164	STI101	16384
27.747	n/a	27748	STI101	15
29.822	n/a	29823	STI101	15
31.866	n/a	31867	STI101	30
32.334	n/a	32335	STI101	16384
33.911	n/a	33912	STI101	15
36.235	n/a	36236	STI101	25
38.45	n/a	38451	STI101	30
38.967	n/a	38968	STI101	16384
40.775	n/a	40776	STI101	20
43.21	n/a	43211	STI101	15
45.605	n/a	45606	STI101	20
48.101	n/a	48102	STI101	10
50.496	n/a	50497	STI101	10
52.971	n/a	52972	STI101	25
55.346	n/a	55347	STI101	10
57.481	n/a	57482	STI101	25
59.846	n/a	59847	STI101	15
62.201	n/a	62202	STI101	25
64.596	n/a	64597	STI101	30
65.203	n/a	65204	STI101	16384
66.981	n/a	66982	STI101	10
69.146	n/a	69147	STI101	20
71.411	n/a	71412	STI101	10
73.806	n/a	73807	STI101	20
76.101	n/a	76102	STI101	30
76.608	n/a	76609	STI101	16384
78.586	n/a	78587	STI101	10
80.68	n/a	80681	STI101	10
83.146	n/a	83147	STI101	10
85.531	n/a	85532	STI101	15
87.685	n/a	87686	STI101	20
90.01	n/a	90011	STI101	25
92.255	n/a	92256	STI101	10
94.33	n/a	94331	STI101	30
94.883	n/a	94884	STI101	16384
96.614	n/a	96615	STI101	30
97.01	n/a	97011	STI101	16384
99.11	n/a	99111	STI101	25
101.335	n/a	101336	STI101	30
101.811	n/a	101812	STI101	16384
103.64	n/a	103641	STI101	10
105.704	n/a	105705	STI101	10
107.808	n/a	107809	STI101	25
109.903	n/a	109904	STI101	15
111.927	n/a	111928	STI101	20
114.072	n/a	114073	STI101	25
116.196	n/a	116197	STI101	15
118.381	n/a	118382	STI101	30
118.855	n/a	118856	STI101	16384
120.455	n/a	120456	STI101	15
122.971	n/a	122972	STI101	25
125.236	n/a	125237	STI101	20
127.44	n/a	127441	STI101	25
129.575	n/a	129576	STI101	30
130.041	n/a	130042	STI101	16384
131.77	n/a	131771	STI101	20
133.974	n/a	133975	STI101	15
136.45	n/a	136451	STI101	15
138.704	n/a	138705	STI101	15
141.019	n/a	141020	STI101	15
143.034	n/a	143035	STI101	25
145.339	n/a	145340	STI101	25
147.734	n/a	147735	STI101	30
148.349	n/a	148350	STI101	16384
150.069	n/a	150070	STI101	15
152.344	n/a	152345	STI101	15
154.769	n/a	154770	STI101	10
157.254	n/a	157255	STI101	10
159.419	n/a	159420	STI101	30
160.158	n/a	160159	STI101	16384
161.824	n/a	161825	STI101	15
163.978	n/a	163979	STI101	10
165.993	n/a	165994	STI101	10
168.047	n/a	168048	STI101	20
170.222	n/a	170223	STI101	10
172.386	n/a	172387	STI101	20
174.401	n/a	174402	STI101	10
176.495	n/a	176496	STI101	10
178.73	n/a	178731	STI101	25
181.125	n/a	181126	STI101	10
183.47	n/a	183471	STI101	10
185.835	n/a	185836	STI101	30
186.272	n/a	186273	STI101	16384
188.07	n/a	188071	STI101	20
190.535	n/a	190536	STI101	25
193.041	n/a	193042	STI101	20
195.516	n/a	195517	STI101	10
197.751	n/a	197752	STI101	30
198.277	n/a	198278	STI101	16384
200.216	n/a	200217	STI101	30
200.96	n/a	200961	STI101	16384
202.421	n/a	202422	STI101	30
202.85	n/a	202851	STI101	16384
204.736	n/a	204737	STI101	15
207.02	n/a	207021	STI101	10
209.456	n/a	209457	STI101	25
211.61	n/a	211611	STI101	15
213.955	n/a	213956	STI101	20
216.26	n/a	216261	STI101	30
216.889	n/a	216890	STI101	16384
218.595	n/a	218596	STI101	25
220.76	n/a	220761	STI101	15
222.934	n/a	222935	STI101	10
225.039	n/a	225040	STI101	10
227.093	n/a	227094	STI101	15
229.248	n/a	229249	STI101	15
231.433	n/a	231434	STI101	30
232.203	n/a	232204	STI101	16384
233.707	n/a	233708	STI101	10
236.213	n/a	236214	STI101	15
238.237	n/a	238238	STI101	15
240.602	n/a	240603	STI101	10
243.067	n/a	243068	STI101	15
245.513	n/a	245514	STI101	30
246.158	n/a	246159	STI101	16384
247.577	n/a	247578	STI101	10
250.062	n/a	250063	STI101	15
252.287	n/a	252288	STI101	10
254.732	n/a	254733	STI101	15
257.178	n/a	257179	STI101	10
259.362	n/a	259363	STI101	25
261.687	n/a	261688	STI101	25
264.132	n/a	264133	STI101	10
266.147	n/a	266148	STI101	30
268.191	n/a	268192	STI101	25
270.386	n/a	270387	STI101	20
272.47	n/a	272471	STI101	15
274.495	n/a	274496	STI101	15
276.89	n/a	276891	STI101	15
279.064	n/a	279065	STI101	15
281.48	n/a	281481	STI101	25
283.574	n/a	283575	STI101	10
285.919	n/a	285920	STI101	30
286.473	n/a	286474	STI101	16384
288.364	n/a	288365	STI101	15
290.749	n/a	290750	STI101	30
291.407	n/a	291408	STI101	16384
292.874	n/a	292875	STI101	15
295.059	n/a	295060	STI101	15
297.253	n/a	297254	STI101	30
297.821	n/a	297822	STI101	16384
299.398	n/a	299399	STI101	20
301.572	n/a	301573	STI101	10
303.627	n/a	303628	STI101	15
305.862	n/a	305863	STI101	20
308.096	n/a	308097	STI101	30
308.533	n/a	308534	STI101	16384
310.121	n/a	310122	STI101	30
310.619	n/a	310620	STI101	16384
312.446	n/a	312447	STI101	30
312.876	n/a	312877	STI101	16384
314.48	n/a	314481	STI101	10
316.574	n/a	316575	STI101	10
318.93	n/a	318931	STI101	10
321.214	n/a	321215	STI101	30
321.747	n/a	321748	STI101	16384
323.229	n/a	323230	STI101	30
323.647	n/a	323648	STI101	16384
325.383	n/a	325384	STI101	15
327.578	n/a	327579	STI101	30
328.238	n/a	328239	STI101	16384
329.662	n/a	329663	STI101	15
331.707	n/a	331708	STI101	15
333.942	n/a	333943	STI101	10
336.136	n/a	336137	STI101	10
338.561	n/a	338562	STI101	10
340.836	n/a	340837	STI101	30
341.376	n/a	341377	STI101	16384
343.251	n/a	343252	STI101	25
345.486	n/a	345487	STI101	30
346.077	n/a	346078	STI101	16384
347.501	n/a	347502	STI101	15
349.515	n/a	349516	STI101	10
351.609	n/a	351610	STI101	15
353.804	n/a	353805	STI101	25
356.169	n/a	356170	STI101	20
358.254	n/a	358255	STI101	15
360.398	n/a	360399	STI101	10
362.733	n/a	362734	STI101	25
364.888	n/a	364889	STI101	20
367.052	n/a	367053	STI101	10
369.137	n/a	369138	STI101	15
371.341	n/a	371342	STI101	30
371.857	n/a	371858	STI101	16384
373.797	n/a	373798	STI101	30
374.234	n/a	374235	STI101	16384
376.252	n/a	376253	STI101	10
378.457	n/a	378458	STI101	10
380.802	n/a	380803	STI101	10
382.936	n/a	382937	STI101	30
383.5	n/a	383501	STI101	16384
385.422	n/a	385423	STI101	20
387.747	n/a	387748	STI101	10
389.861	n/a	389862	STI101	25
391.925	n/a	391926	STI101	15
394.22	n/a	394221	STI101	25
396.365	n/a	396366	STI101	20
398.409	n/a	398410	STI101	10
400.494	n/a	400495	STI101	10
402.528	n/a	402529	STI101	10
404.873	n/a	404874	STI101	20
407.268	n/a	407269	STI101	15
409.683	n/a	409684	STI101	10
411.828	n/a	411829	STI101	25
414.283	n/a	414284	STI101	10
416.598	n/a	416599	STI101	25
418.613	n/a	418614	STI101	10
420.797	n/a	420798	STI101	25
423.072	n/a	423073	STI101	30
423.714	n/a	423715	STI101	16384
425.397	n/a	425398	STI101	20
427.632	n/a	427633	STI101	10
430.047	n/a	430048	STI101	20
432.131	n/a	432132	STI101	15
434.627	n/a	434628	STI101	15
437.052	n/a	437053	STI101	15
439.227	n/a	439228	STI101	30
439.951	n/a	439952	STI101	16384
441.541	n/a	441542	STI101	10
443.706	n/a	443707	STI101	10
445.761	n/a	445762	STI101	15
448.025	n/a	448026	STI101	25
450.451	n/a	450452	STI101	10
452.846	n/a	452847	STI101	30
453.394	n/a	453395	STI101	16384
455.331	n/a	455332	STI101	15
457.506	n/a	457507	STI101	25
459.71	n/a	459711	STI101	15
461.795	n/a	461796	STI101	30
462.597	n/a	462598	STI101	16384
463.969	n/a	463970	STI101	20
466.254	n/a	466255	STI101	10
468.539	n/a	468540	STI101	30
469.282	n/a	469283	STI101	16384
470.624	n/a	470625	STI101	10
472.688	n/a	472689	STI101	15
