onset	duration	sample	type	value
8.217	n/a	8218	STI101	75
8.832	n/a	8833	STI101	16384
10.541	n/a	10542	STI101	75
11.055	n/a	11056	STI101	16384
12.715	n/a	12716	STI101	60
14.77	n/a	14771	STI101	65
17.155	n/a	17156	STI101	65
19.54	n/a	19541	STI101	60
21.665	n/a	21666	STI101	70
23.829	n/a	23830	STI101	75
24.412	n/a	24413	STI101	16384
25.924	n/a	25925	STI101	70
27.958	n/a	27959	STI101	60
30.243	n/a	30244	STI101	65
32.588	n/a	32589	STI101	70
35.093	n/a	35094	STI101	65
37.549	n/a	37550	STI101	65
39.633	n/a	39634	STI101	65
41.687	n/a	41688	STI101	65
43.872	n/a	43873	STI101	70
46.307	n/a	46308	STI101	60
48.672	n/a	48673	STI101	60
50.767	n/a	50768	STI101	75
51.398	n/a	51399	STI101	16384
52.871	n/a	52872	STI101	60
55.347	n/a	55348	STI101	75
56.245	n/a	56246	STI101	16384
57.491	n/a	57492	STI101	65
59.515	n/a	59516	STI101	70
61.85	n/a	61851	STI101	75
62.457	n/a	62458	STI101	16384
64.055	n/a	64056	STI101	65
66.42	n/a	66421	STI101	70
68.465	n/a	68466	STI101	65
70.94	n/a	70941	STI101	65
73.074	n/a	73075	STI101	60
75.419	n/a	75420	STI101	65
77.554	n/a	77555	STI101	75
78.087	n/a	78088	STI101	16384
80.039	n/a	80040	STI101	60
82.214	n/a	82215	STI101	70
84.689	n/a	84690	STI101	65
86.824	n/a	86825	STI101	60
89.249	n/a	89250	STI101	75
90.128	n/a	90129	STI101	16384
91.584	n/a	91585	STI101	75
92.336	n/a	92337	STI101	16384
93.909	n/a	93910	STI101	60
96.064	n/a	96065	STI101	65
98.399	n/a	98400	STI101	70
100.894	n/a	100895	STI101	75
101.46	n/a	101461	STI101	16384
103.249	n/a	103250	STI101	75
103.989	n/a	103990	STI101	16384
105.434	n/a	105435	STI101	75
106.163	n/a	106164	STI101	16384
107.809	n/a	107810	STI101	60
109.963	n/a	109964	STI101	75
110.674	n/a	110675	STI101	16384
112.208	n/a	112209	STI101	75
112.964	n/a	112965	STI101	16384
114.593	n/a	114594	STI101	60
116.868	n/a	116869	STI101	70
119.283	n/a	119284	STI101	60
121.368	n/a	121369	STI101	70
123.472	n/a	123473	STI101	65
125.867	n/a	125868	STI101	65
128.022	n/a	128023	STI101	65
130.277	n/a	130278	STI101	60
132.602	n/a	132603	STI101	65
134.826	n/a	134827	STI101	65
136.931	n/a	136932	STI101	70
138.975	n/a	138976	STI101	75
139.793	n/a	139794	STI101	16384
141.04	n/a	141041	STI101	75
141.969	n/a	141970	STI101	16384
143.264	n/a	143265	STI101	60
145.469	n/a	145470	STI101	65
147.604	n/a	147605	STI101	60
149.929	n/a	149930	STI101	65
152.264	n/a	152265	STI101	75
153.035	n/a	153036	STI101	16384
154.579	n/a	154580	STI101	65
156.603	n/a	156604	STI101	60
158.738	n/a	158739	STI101	60
161.103	n/a	161104	STI101	65
163.478	n/a	163479	STI101	70
165.933	n/a	165934	STI101	60
168.208	n/a	168209	STI101	70
170.312	n/a	170313	STI101	70
172.707	n/a	172708	STI101	75
173.581	n/a	173582	STI101	16384
175.022	n/a	175023	STI101	70
177.498	n/a	177499	STI101	65
179.752	n/a	179753	STI101	75
180.499	n/a	180500	STI101	16384
181.937	n/a	181938	STI101	70
184.352	n/a	184353	STI101	75
185.172	n/a	185173	STI101	16384
186.517	n/a	186518	STI101	75
187.25	n/a	187251	STI101	16384
189.012	n/a	189013	STI101	60
191.207	n/a	191208	STI101	60
193.261	n/a	193262	STI101	60
195.276	n/a	195277	STI101	60
197.55	n/a	197551	STI101	32
197.551	n/a	197552	STI101	60
199.605	n/a	199606	STI101	60
202.07	n/a	202071	STI101	65
204.445	n/a	204446	STI101	60
206.68	n/a	206681	STI101	75
207.501	n/a	207502	STI101	16384
208.825	n/a	208826	STI101	70
