onset	duration	sample	type	value
1.252	n/a	1253	STI101	50
3.677	n/a	3678	STI101	50
6.012	n/a	6013	STI101	35
8.076	n/a	8077	STI101	45
10.251	n/a	10252	STI101	55
10.671	n/a	10672	STI101	16384
12.566	n/a	12567	STI101	55
12.96	n/a	12961	STI101	16384
14.901	n/a	14902	STI101	55
15.249	n/a	15250	STI101	16384
17.366	n/a	17367	STI101	40
19.871	n/a	19872	STI101	35
21.956	n/a	21957	STI101	40
24.01	n/a	24011	STI101	50
26.085	n/a	26086	STI101	50
28.129	n/a	28130	STI101	40
30.434	n/a	30435	STI101	35
32.639	n/a	32640	STI101	35
34.733	n/a	34734	STI101	55
35.23	n/a	35231	STI101	16384
36.968	n/a	36969	STI101	45
39.142	n/a	39143	STI101	55
39.593	n/a	39594	STI101	16384
41.518	n/a	41519	STI101	55
41.921	n/a	41922	STI101	16384
43.692	n/a	43693	STI101	40
46.087	n/a	46088	STI101	40
48.563	n/a	48564	STI101	35
50.637	n/a	50638	STI101	35
52.972	n/a	52973	STI101	45
55.347	n/a	55348	STI101	55
55.871	n/a	55872	STI101	16384
57.472	n/a	57473	STI101	55
57.92	n/a	57921	STI101	16384
59.716	n/a	59717	STI101	35
62.212	n/a	62213	STI101	35
64.306	n/a	64307	STI101	40
66.471	n/a	66472	STI101	35
68.525	n/a	68526	STI101	35
70.61	n/a	70611	STI101	35
72.654	n/a	72655	STI101	35
75.029	n/a	75030	STI101	40
77.524	n/a	77525	STI101	45
80	n/a	80001	STI101	55
80.397	n/a	80398	STI101	16384
82.285	n/a	82286	STI101	50
84.62	n/a	84621	STI101	55
85.083	n/a	85084	STI101	16384
86.935	n/a	86936	STI101	45
89.179	n/a	89180	STI101	55
89.605	n/a	89606	STI101	16384
91.224	n/a	91225	STI101	35
93.258	n/a	93259	STI101	40
95.292	n/a	95293	STI101	35
97.748	n/a	97749	STI101	55
98.173	n/a	98174	STI101	16384
99.792	n/a	99793	STI101	35
102.197	n/a	102198	STI101	45
104.612	n/a	104613	STI101	45
106.677	n/a	106678	STI101	35
108.871	n/a	108872	STI101	40
111.026	n/a	111027	STI101	35
113.06	n/a	113061	STI101	55
113.516	n/a	113517	STI101	16384
115.455	n/a	115456	STI101	55
115.963	n/a	115964	STI101	16384
117.75	n/a	117751	STI101	35
119.955	n/a	119956	STI101	50
122.12	n/a	122121	STI101	45
124.395	n/a	124396	STI101	40
126.679	n/a	126680	STI101	50
128.954	n/a	128955	STI101	55
129.478	n/a	129479	STI101	16384
131.349	n/a	131350	STI101	40
133.724	n/a	133725	STI101	35
136.11	n/a	136111	STI101	55
136.536	n/a	136537	STI101	16384
138.334	n/a	138335	STI101	55
138.736	n/a	138737	STI101	16384
140.589	n/a	140590	STI101	50
143.034	n/a	143035	STI101	55
143.469	n/a	143470	STI101	16384
145.419	n/a	145420	STI101	40
147.474	n/a	147475	STI101	35
149.939	n/a	149940	STI101	55
150.422	n/a	150423	STI101	16384
152.264	n/a	152265	STI101	40
154.429	n/a	154430	STI101	35
156.804	n/a	156805	STI101	55
157.29	n/a	157291	STI101	16384
158.888	n/a	158889	STI101	55
159.287	n/a	159288	STI101	16384
160.943	n/a	160944	STI101	45
163.288	n/a	163289	STI101	55
163.709	n/a	163710	STI101	16384
165.713	n/a	165714	STI101	40
167.857	n/a	167858	STI101	40
169.962	n/a	169963	STI101	55
170.49	n/a	170491	STI101	16384
171.976	n/a	171977	STI101	55
172.404	n/a	172405	STI101	16384
174.011	n/a	174012	STI101	45
176.245	n/a	176246	STI101	35
178.65	n/a	178651	STI101	35
181.005	n/a	181006	STI101	40
183.02	n/a	183021	STI101	45
185.024	n/a	185025	STI101	50
187.279	n/a	187280	STI101	55
187.947	n/a	187948	STI101	16384
189.744	n/a	189745	STI101	40
191.768	n/a	191769	STI101	45
