onset	duration	sample	type	value
1.764	n/a	1765	STI101	30
2.412	n/a	2413	STI101	16384
4.109	n/a	4110	STI101	15
6.364	n/a	6365	STI101	30
6.724	n/a	6725	STI101	16384
8.588	n/a	8589	STI101	30
9.315	n/a	9316	STI101	16384
11.094	n/a	11095	STI101	25
13.319	n/a	13320	STI101	15
15.724	n/a	15725	STI101	10
18.009	n/a	18010	STI101	10
20.444	n/a	20445	STI101	15
22.909	n/a	22910	STI101	30
23.881	n/a	23882	STI101	16384
25.314	n/a	25315	STI101	10
27.759	n/a	27760	STI101	30
28.359	n/a	28360	STI101	16384
29.814	n/a	29815	STI101	15
31.938	n/a	31939	STI101	10
34.273	n/a	34274	STI101	20
36.518	n/a	36519	STI101	30
36.938	n/a	36939	STI101	16384
38.873	n/a	38874	STI101	15
40.958	n/a	40959	STI101	10
43.062	n/a	43063	STI101	25
45.257	n/a	45258	STI101	15
47.431	n/a	47432	STI101	30
49.616	n/a	49617	STI101	15
51.931	n/a	51932	STI101	10
54.196	n/a	54197	STI101	10
56.33	n/a	56331	STI101	10
58.836	n/a	58837	STI101	10
61.111	n/a	61112	STI101	20
63.275	n/a	63276	STI101	30
63.786	n/a	63787	STI101	16384
65.49	n/a	65491	STI101	10
67.895	n/a	67896	STI101	15
69.92	n/a	69921	STI101	10
71.984	n/a	71985	STI101	10
74.139	n/a	74140	STI101	25
76.594	n/a	76595	STI101	15
78.859	n/a	78860	STI101	10
81.324	n/a	81325	STI101	20
83.468	n/a	83469	STI101	30
84.069	n/a	84070	STI101	16384
85.894	n/a	85895	STI101	25
88.209	n/a	88210	STI101	10
90.514	n/a	90515	STI101	10
92.828	n/a	92829	STI101	16
92.829	n/a	92830	STI101	20
95.013	n/a	95014	STI101	20
97.258	n/a	97259	STI101	30
99.423	n/a	99424	STI101	10
101.467	n/a	101468	STI101	30
103.602	n/a	103603	STI101	15
105.916	n/a	105917	STI101	25
108.141	n/a	108142	STI101	15
110.366	n/a	110367	STI101	15
112.42	n/a	112421	STI101	15
114.455	n/a	114456	STI101	30
115.023	n/a	115024	STI101	16384
116.9	n/a	116901	STI101	15
118.994	n/a	118995	STI101	10
121.079	n/a	121080	STI101	10
123.414	n/a	123415	STI101	25
125.468	n/a	125469	STI101	10
127.863	n/a	127864	STI101	30
128.353	n/a	128354	STI101	16384
130.138	n/a	130139	STI101	10
132.273	n/a	132274	STI101	15
134.347	n/a	134348	STI101	30
136.422	n/a	136423	STI101	30
138.456	n/a	138457	STI101	15
140.861	n/a	140862	STI101	15
142.906	n/a	142907	STI101	20
145.14	n/a	145141	STI101	20
147.576	n/a	147577	STI101	20
149.91	n/a	149911	STI101	20
152.316	n/a	152317	STI101	10
154.821	n/a	154822	STI101	15
157.186	n/a	157187	STI101	25
159.381	n/a	159382	STI101	15
161.746	n/a	161747	STI101	25
164.161	n/a	164162	STI101	30
164.729	n/a	164730	STI101	16384
166.215	n/a	166216	STI101	25
174.782	n/a	174783	STI101	201
179.643	n/a	179644	STI101	201
