onset	duration	sample	type	value
10.037	n/a	10038	STI101	35
12.312	n/a	12313	STI101	50
14.396	n/a	14397	STI101	40
16.791	n/a	16792	STI101	55
17.391	n/a	17392	STI101	16384
18.896	n/a	18897	STI101	45
21.181	n/a	21182	STI101	55
21.695	n/a	21696	STI101	16384
23.506	n/a	23507	STI101	55
24.048	n/a	24049	STI101	16384
25.861	n/a	25862	STI101	40
28.296	n/a	28297	STI101	40
30.581	n/a	30582	STI101	35
33.046	n/a	33047	STI101	55
33.451	n/a	33452	STI101	16384
35.091	n/a	35092	STI101	50
37.586	n/a	37587	STI101	50
40.031	n/a	40032	STI101	40
42.065	n/a	42066	STI101	35
44.4	n/a	44401	STI101	35
46.866	n/a	46867	STI101	45
48.98	n/a	48981	STI101	55
49.387	n/a	49388	STI101	16384
51.055	n/a	51056	STI101	40
53.38	n/a	53381	STI101	55
53.787	n/a	53788	STI101	16384
55.404	n/a	55405	STI101	45
57.579	n/a	57580	STI101	50
60.044	n/a	60045	STI101	40
62.098	n/a	62099	STI101	35
64.383	n/a	64384	STI101	55
64.739	n/a	64740	STI101	16384
66.818	n/a	66819	STI101	45
69.033	n/a	69034	STI101	50
71.248	n/a	71249	STI101	40
73.583	n/a	73584	STI101	40
75.757	n/a	75758	STI101	50
77.842	n/a	77843	STI101	40
80.077	n/a	80078	STI101	35
82.572	n/a	82573	STI101	35
84.997	n/a	84998	STI101	55
85.46	n/a	85461	STI101	16384
87.142	n/a	87143	STI101	40
89.286	n/a	89287	STI101	35
91.561	n/a	91562	STI101	45
93.916	n/a	93917	STI101	35
96.131	n/a	96132	STI101	55
96.591	n/a	96592	STI101	16384
98.446	n/a	98447	STI101	40
100.751	n/a	100752	STI101	50
103.186	n/a	103187	STI101	45
105.331	n/a	105332	STI101	40
107.535	n/a	107536	STI101	40
109.971	n/a	109972	STI101	50
112.085	n/a	112086	STI101	35
114.159	n/a	114160	STI101	50
116.605	n/a	116606	STI101	45
119	n/a	119001	STI101	55
119.539	n/a	119540	STI101	16384
121.395	n/a	121396	STI101	50
123.7	n/a	123701	STI101	40
125.875	n/a	125876	STI101	35
128.199	n/a	128200	STI101	35
130.585	n/a	130586	STI101	50
133.03	n/a	133031	STI101	50
135.235	n/a	135236	STI101	40
137.289	n/a	137290	STI101	35
139.674	n/a	139675	STI101	35
141.768	n/a	141769	STI101	55
142.173	n/a	142174	STI101	16384
144.164	n/a	144165	STI101	35
