onset	duration	sample	type	value
4.494	n/a	4495	STI101	15
6.94	n/a	6941	STI101	10
9.104	n/a	9105	STI101	10
11.239	n/a	11240	STI101	15
13.363	n/a	13364	STI101	10
15.548	n/a	15549	STI101	30
15.956	n/a	15957	STI101	16384
17.652	n/a	17653	STI101	10
19.947	n/a	19948	STI101	20
22.383	n/a	22384	STI101	30
22.723	n/a	22724	STI101	16384
24.617	n/a	24618	STI101	25
26.882	n/a	26883	STI101	10
29.247	n/a	29248	STI101	30
29.7	n/a	29701	STI101	16384
31.612	n/a	31613	STI101	10
33.647	n/a	33648	STI101	30
34.172	n/a	34173	STI101	16384
35.851	n/a	35852	STI101	15
38.307	n/a	38308	STI101	10
40.591	n/a	40592	STI101	30
41.103	n/a	41104	STI101	16384
42.796	n/a	42797	STI101	15
45.302	n/a	45303	STI101	10
47.697	n/a	47698	STI101	30
48.054	n/a	48055	STI101	16384
50.182	n/a	50183	STI101	10
52.497	n/a	52498	STI101	25
54.631	n/a	54632	STI101	20
56.926	n/a	56927	STI101	15
59.291	n/a	59292	STI101	15
61.576	n/a	61577	STI101	30
62.01	n/a	62011	STI101	16384
63.781	n/a	63782	STI101	15
66.146	n/a	66147	STI101	20
68.541	n/a	68542	STI101	10
70.716	n/a	70717	STI101	30
71.249	n/a	71250	STI101	16384
73.201	n/a	73202	STI101	30
73.897	n/a	73898	STI101	16384
75.225	n/a	75226	STI101	20
77.4	n/a	77401	STI101	30
77.797	n/a	77798	STI101	16384
79.555	n/a	79556	STI101	15
81.92	n/a	81921	STI101	15
84.135	n/a	84136	STI101	15
86.6	n/a	86601	STI101	20
88.925	n/a	88926	STI101	30
89.509	n/a	89510	STI101	16384
91.16	n/a	91161	STI101	15
93.394	n/a	93395	STI101	25
95.84	n/a	95841	STI101	15
98.034	n/a	98035	STI101	30
98.545	n/a	98546	STI101	16384
100.399	n/a	100400	STI101	30
100.917	n/a	100918	STI101	16384
102.484	n/a	102485	STI101	15
104.949	n/a	104950	STI101	15
107.033	n/a	107034	STI101	10
109.208	n/a	109209	STI101	10
111.383	n/a	111384	STI101	30
111.956	n/a	111957	STI101	16384
113.848	n/a	113849	STI101	25
115.983	n/a	115984	STI101	25
118.378	n/a	118379	STI101	30
118.68	n/a	118681	STI101	16384
120.452	n/a	120453	STI101	25
122.787	n/a	122788	STI101	30
123.313	n/a	123314	STI101	16384
124.982	n/a	124983	STI101	10
127.467	n/a	127468	STI101	10
129.662	n/a	129663	STI101	10
131.967	n/a	131968	STI101	10
134.192	n/a	134193	STI101	10
136.216	n/a	136217	STI101	15
138.36	n/a	138361	STI101	10
140.545	n/a	140546	STI101	10
142.97	n/a	142971	STI101	15
145.165	n/a	145166	STI101	25
147.64	n/a	147641	STI101	20
149.915	n/a	149916	STI101	15
152.28	n/a	152281	STI101	10
154.495	n/a	154496	STI101	30
