onset	duration	sample	type	value
7.041	n/a	7042	STI101	20
9.055	n/a	9056	STI101	15
11.551	n/a	11552	STI101	15
14.046	n/a	14047	STI101	20
16.121	n/a	16122	STI101	15
18.365	n/a	18366	STI101	10
20.7	n/a	20701	STI101	15
22.855	n/a	22856	STI101	15
25.24	n/a	25241	STI101	30
25.802	n/a	25803	STI101	16384
26.088	n/a	26089	STI101	16384
27.525	n/a	27526	STI101	10
29.75	n/a	29751	STI101	30
30.29	n/a	30291	STI101	16384
30.337	n/a	30338	STI101	16384
30.514	n/a	30515	STI101	16384
31.894	n/a	31895	STI101	30
32.41	n/a	32411	STI101	16384
34.279	n/a	34280	STI101	10
36.735	n/a	36736	STI101	10
39.11	n/a	39111	STI101	25
41.324	n/a	41325	STI101	30
41.915	n/a	41916	STI101	16384
41.978	n/a	41979	STI101	16384
43.8	n/a	43801	STI101	25
45.934	n/a	45935	STI101	15
48.209	n/a	48210	STI101	30
48.759	n/a	48760	STI101	16384
48.808	n/a	48809	STI101	16384
49.009	n/a	49010	STI101	16384
50.694	n/a	50695	STI101	10
52.839	n/a	52840	STI101	15
54.974	n/a	54975	STI101	25
57.449	n/a	57450	STI101	20
59.493	n/a	59494	STI101	15
61.648	n/a	61649	STI101	30
62.125	n/a	62126	STI101	16384
62.593	n/a	62594	STI101	16384
63.953	n/a	63954	STI101	10
66.067	n/a	66068	STI101	15
68.392	n/a	68393	STI101	25
70.797	n/a	70798	STI101	30
71.227	n/a	71228	STI101	16384
71.515	n/a	71516	STI101	16384
73.052	n/a	73053	STI101	10
75.387	n/a	75388	STI101	10
77.792	n/a	77793	STI101	20
79.917	n/a	79918	STI101	20
82.222	n/a	82223	STI101	15
84.286	n/a	84287	STI101	15
86.551	n/a	86552	STI101	30
87.033	n/a	87034	STI101	16384
88.976	n/a	88977	STI101	10
91.441	n/a	91442	STI101	30
91.759	n/a	91760	STI101	16384
92.051	n/a	92052	STI101	16384
93.696	n/a	93697	STI101	30
94.1	n/a	94101	STI101	16384
94.147	n/a	94148	STI101	16384
94.348	n/a	94349	STI101	16384
95.841	n/a	95842	STI101	10
98.176	n/a	98177	STI101	30
98.52	n/a	98521	STI101	16384
98.845	n/a	98846	STI101	16384
100.641	n/a	100642	STI101	15
102.906	n/a	102907	STI101	25
105.401	n/a	105402	STI101	30
105.883	n/a	105884	STI101	16384
105.947	n/a	105948	STI101	16384
106.167	n/a	106168	STI101	16384
107.506	n/a	107507	STI101	15
109.57	n/a	109571	STI101	10
111.725	n/a	111726	STI101	10
113.93	n/a	113931	STI101	20
116.144	n/a	116145	STI101	15
118.309	n/a	118310	STI101	30
118.856	n/a	118857	STI101	16384
118.901	n/a	118902	STI101	16384
119.099	n/a	119100	STI101	16384
120.664	n/a	120665	STI101	30
121.124	n/a	121125	STI101	16384
121.216	n/a	121217	STI101	16384
121.413	n/a	121414	STI101	16384
122.718	n/a	122719	STI101	30
123.081	n/a	123082	STI101	16384
123.139	n/a	123140	STI101	16384
123.337	n/a	123338	STI101	16384
