onset	duration	sample	type	value
0.057	n/a	58	STI101	16384
0.238	n/a	239	STI101	16384
1.774	n/a	1775	STI101	25
3.909	n/a	3910	STI101	20
6.354	n/a	6355	STI101	10
8.769	n/a	8770	STI101	30
9.193	n/a	9194	STI101	16384
9.236	n/a	9237	STI101	16384
9.4	n/a	9401	STI101	16384
11.004	n/a	11005	STI101	15
13.058	n/a	13059	STI101	10
15.353	n/a	15354	STI101	15
17.458	n/a	17459	STI101	20
19.733	n/a	19734	STI101	15
21.917	n/a	21918	STI101	30
22.231	n/a	22232	STI101	16384
22.271	n/a	22272	STI101	16384
22.44	n/a	22441	STI101	16384
24.082	n/a	24083	STI101	25
26.457	n/a	26458	STI101	10
28.722	n/a	28723	STI101	10
31.127	n/a	31128	STI101	30
31.499	n/a	31500	STI101	16384
31.714	n/a	31715	STI101	16384
33.241	n/a	33242	STI101	10
35.586	n/a	35587	STI101	10
37.621	n/a	37622	STI101	10
40.026	n/a	40027	STI101	15
42.371	n/a	42372	STI101	30
44.856	n/a	44857	STI101	15
46.911	n/a	46912	STI101	30
47.277	n/a	47278	STI101	16384
49.376	n/a	49377	STI101	10
51.641	n/a	51642	STI101	30
52.005	n/a	52006	STI101	16384
52.272	n/a	52273	STI101	16384
53.956	n/a	53957	STI101	30
54.315	n/a	54316	STI101	16384
56.12	n/a	56121	STI101	20
58.165	n/a	58166	STI101	20
60.6	n/a	60601	STI101	10
62.684	n/a	62685	STI101	20
64.879	n/a	64880	STI101	10
67.204	n/a	67205	STI101	20
69.709	n/a	69710	STI101	10
71.974	n/a	71975	STI101	10
74.479	n/a	74480	STI101	25
76.604	n/a	76605	STI101	30
77.164	n/a	77165	STI101	16384
78.809	n/a	78810	STI101	20
81.164	n/a	81165	STI101	30
81.509	n/a	81510	STI101	16384
81.773	n/a	81774	STI101	16384
83.208	n/a	83209	STI101	15
85.593	n/a	85594	STI101	10
87.808	n/a	87809	STI101	30
88.159	n/a	88160	STI101	16384
88.216	n/a	88217	STI101	16384
88.4	n/a	88401	STI101	16384
90.223	n/a	90224	STI101	10
92.418	n/a	92419	STI101	15
94.582	n/a	94583	STI101	30
94.874	n/a	94875	STI101	16384
95.138	n/a	95139	STI101	16384
97.088	n/a	97089	STI101	10
99.453	n/a	99454	STI101	15
101.668	n/a	101669	STI101	20
103.722	n/a	103723	STI101	10
106.097	n/a	106098	STI101	30
106.529	n/a	106530	STI101	16384
106.565	n/a	106566	STI101	16384
106.767	n/a	106768	STI101	16384
108.422	n/a	108423	STI101	15
110.466	n/a	110467	STI101	25
112.531	n/a	112532	STI101	30
112.86	n/a	112861	STI101	16384
113.114	n/a	113115	STI101	16384
115.026	n/a	115027	STI101	20
117.281	n/a	117282	STI101	25
119.305	n/a	119306	STI101	20
121.34	n/a	121341	STI101	10
123.414	n/a	123415	STI101	15
125.869	n/a	125870	STI101	10
128.114	n/a	128115	STI101	25
130.399	n/a	130400	STI101	15
132.654	n/a	132655	STI101	15
134.698	n/a	134699	STI101	10
137.153	n/a	137154	STI101	15
139.308	n/a	139309	STI101	10
141.453	n/a	141454	STI101	20
143.758	n/a	143759	STI101	15
146.002	n/a	146003	STI101	30
146.356	n/a	146357	STI101	16384
148.197	n/a	148198	STI101	20
150.532	n/a	150533	STI101	10
153.007	n/a	153008	STI101	30
153.529	n/a	153530	STI101	16384
155.322	n/a	155323	STI101	25
157.477	n/a	157478	STI101	15
159.591	n/a	159592	STI101	15
161.816	n/a	161817	STI101	15
163.84	n/a	163841	STI101	15
166.286	n/a	166287	STI101	20
168.601	n/a	168602	STI101	25
170.715	n/a	170716	STI101	20
172.98	n/a	172981	STI101	15
175.014	n/a	175015	STI101	20
177.45	n/a	177451	STI101	15
179.684	n/a	179685	STI101	25
181.969	n/a	181970	STI101	15
184.264	n/a	184265	STI101	15
186.609	n/a	186610	STI101	10
188.804	n/a	188805	STI101	20
190.848	n/a	190849	STI101	10
193.083	n/a	193084	STI101	25
195.117	n/a	195118	STI101	15
204.014	n/a	204015	STI101	201
