onset	duration	sample	type	value
0.586	n/a	587	STI101	40
2.62	n/a	2621	STI101	35
4.704	n/a	4705	STI101	40
6.719	n/a	6720	STI101	50
8.944	n/a	8945	STI101	55
9.65	n/a	9651	STI101	16384
9.886	n/a	9887	STI101	16384
11.369	n/a	11370	STI101	35
13.684	n/a	13685	STI101	40
15.949	n/a	15950	STI101	40
18.394	n/a	18395	STI101	50
20.448	n/a	20449	STI101	50
22.913	n/a	22914	STI101	40
24.978	n/a	24979	STI101	50
27.243	n/a	27244	STI101	55
28.1	n/a	28101	STI101	16384
28.315	n/a	28316	STI101	16384
29.327	n/a	29328	STI101	40
31.612	n/a	31613	STI101	50
33.626	n/a	33627	STI101	55
34.209	n/a	34210	STI101	16384
34.439	n/a	34440	STI101	16384
36.021	n/a	36022	STI101	55
36.641	n/a	36642	STI101	16384
36.871	n/a	36872	STI101	16384
38.457	n/a	38458	STI101	35
40.922	n/a	40923	STI101	55
41.618	n/a	41619	STI101	16384
41.844	n/a	41845	STI101	16384
43.427	n/a	43428	STI101	55
44.061	n/a	44062	STI101	16384
44.282	n/a	44283	STI101	16384
45.692	n/a	45693	STI101	40
47.837	n/a	47838	STI101	55
48.512	n/a	48513	STI101	16384
48.767	n/a	48768	STI101	16384
49.891	n/a	49892	STI101	40
52.156	n/a	52157	STI101	55
52.905	n/a	52906	STI101	16384
53.115	n/a	53116	STI101	16384
54.461	n/a	54462	STI101	40
56.846	n/a	56847	STI101	55
57.515	n/a	57516	STI101	16384
57.613	n/a	57614	STI101	16384
57.749	n/a	57750	STI101	16384
58.9	n/a	58901	STI101	50
61.235	n/a	61236	STI101	45
63.5	n/a	63501	STI101	55
64.222	n/a	64223	STI101	16384
64.434	n/a	64435	STI101	16384
65.595	n/a	65596	STI101	55
66.221	n/a	66222	STI101	16384
66.481	n/a	66482	STI101	16384
68.07	n/a	68071	STI101	40
70.375	n/a	70376	STI101	40
72.6	n/a	72601	STI101	50
75.075	n/a	75076	STI101	55
75.628	n/a	75629	STI101	16384
75.929	n/a	75930	STI101	16384
77.41	n/a	77411	STI101	50
79.645	n/a	79646	STI101	35
82.07	n/a	82071	STI101	55
82.834	n/a	82835	STI101	16384
82.893	n/a	82894	STI101	16384
83.017	n/a	83018	STI101	16384
84.345	n/a	84346	STI101	40
86.63	n/a	86631	STI101	35
88.975	n/a	88976	STI101	45
91.169	n/a	91170	STI101	40
93.294	n/a	93295	STI101	35
95.589	n/a	95590	STI101	45
98.034	n/a	98035	STI101	55
98.847	n/a	98848	STI101	16384
99.06	n/a	99061	STI101	16384
100.249	n/a	100250	STI101	40
102.313	n/a	102314	STI101	35
104.548	n/a	104549	STI101	55
105.182	n/a	105183	STI101	16384
105.431	n/a	105432	STI101	16384
106.702	n/a	106703	STI101	55
107.485	n/a	107486	STI101	16384
107.694	n/a	107695	STI101	16384
108.907	n/a	108908	STI101	55
109.591	n/a	109592	STI101	16384
109.884	n/a	109885	STI101	16384
111.332	n/a	111333	STI101	40
113.547	n/a	113548	STI101	55
114.285	n/a	114286	STI101	16384
114.483	n/a	114484	STI101	16384
115.752	n/a	115753	STI101	35
117.936	n/a	117937	STI101	35
120.011	n/a	120012	STI101	40
122.145	n/a	122146	STI101	35
124.2	n/a	124201	STI101	55
124.759	n/a	124760	STI101	16384
124.847	n/a	124848	STI101	16384
124.972	n/a	124973	STI101	16384
126.425	n/a	126426	STI101	55
127.061	n/a	127062	STI101	16384
127.286	n/a	127287	STI101	16384
128.559	n/a	128560	STI101	35
130.714	n/a	130715	STI101	40
132.938	n/a	132939	STI101	35
135.003	n/a	135004	STI101	55
135.957	n/a	135958	STI101	16384
136.229	n/a	136230	STI101	16384
136.637	n/a	136638	STI101	16384
136.816	n/a	136817	STI101	16384
137.258	n/a	137259	STI101	40
139.623	n/a	139624	STI101	35
141.757	n/a	141758	STI101	35
144.162	n/a	144163	STI101	40
146.207	n/a	146208	STI101	45
148.412	n/a	148413	STI101	40
150.426	n/a	150427	STI101	45
152.54	n/a	152541	STI101	40
154.545	n/a	154546	STI101	35
156.649	n/a	156650	STI101	55
157.262	n/a	157263	STI101	16384
157.362	n/a	157363	STI101	16384
157.572	n/a	157573	STI101	16384
158.734	n/a	158735	STI101	40
160.878	n/a	160879	STI101	35
162.973	n/a	162974	STI101	40
165.047	n/a	165048	STI101	55
165.753	n/a	165754	STI101	16384
165.803	n/a	165804	STI101	16384
165.976	n/a	165977	STI101	16384
167.352	n/a	167353	STI101	55
167.912	n/a	167913	STI101	16384
167.969	n/a	167970	STI101	16384
168.13	n/a	168131	STI101	16384
169.807	n/a	169808	STI101	45
172.283	n/a	172284	STI101	35
174.397	n/a	174398	STI101	35
176.652	n/a	176653	STI101	55
177.232	n/a	177233	STI101	16384
177.464	n/a	177465	STI101	16384
178.847	n/a	178848	STI101	35
181.121	n/a	181122	STI101	55
181.757	n/a	181758	STI101	16384
181.836	n/a	181837	STI101	16384
182.014	n/a	182015	STI101	16384
