onset	duration	sample	type	value
1.042	n/a	1043	STI101	40
3.217	n/a	3218	STI101	50
5.331	n/a	5332	STI101	40
7.767	n/a	7768	STI101	35
10.001	n/a	10002	STI101	40
12.276	n/a	12277	STI101	55
14.411	n/a	14412	STI101	35
16.856	n/a	16857	STI101	40
18.89	n/a	18891	STI101	55
19.232	n/a	19233	STI101	16384
21.115	n/a	21116	STI101	50
23.38	n/a	23381	STI101	55
23.712	n/a	23713	STI101	16384
25.565	n/a	25566	STI101	40
27.749	n/a	27750	STI101	35
30.034	n/a	30035	STI101	35
32.389	n/a	32390	STI101	55
32.705	n/a	32706	STI101	16384
34.514	n/a	34515	STI101	35
36.568	n/a	36569	STI101	35
38.743	n/a	38744	STI101	40
40.897	n/a	40898	STI101	35
43.112	n/a	43113	STI101	45
45.487	n/a	45488	STI101	40
47.712	n/a	47713	STI101	35
48.103	n/a	48104	STI101	16384
49.766	n/a	49767	STI101	50
51.871	n/a	51872	STI101	40
54.005	n/a	54006	STI101	35
56.2	n/a	56201	STI101	45
58.485	n/a	58486	STI101	35
60.82	n/a	60821	STI101	55
61.25	n/a	61251	STI101	16384
62.914	n/a	62915	STI101	45
65.329	n/a	65330	STI101	45
67.454	n/a	67455	STI101	55
67.816	n/a	67817	STI101	16384
69.769	n/a	69770	STI101	45
71.964	n/a	71965	STI101	50
73.998	n/a	73999	STI101	40
76.413	n/a	76414	STI101	40
78.878	n/a	78879	STI101	40
80.893	n/a	80894	STI101	55
81.24	n/a	81241	STI101	16384
83.158	n/a	83159	STI101	55
83.557	n/a	83558	STI101	16384
85.613	n/a	85614	STI101	40
87.888	n/a	87889	STI101	35
90.132	n/a	90133	STI101	40
92.437	n/a	92438	STI101	45
94.823	n/a	94824	STI101	55
95.209	n/a	95210	STI101	16384
96.927	n/a	96928	STI101	45
99.262	n/a	99263	STI101	50
101.397	n/a	101398	STI101	45
103.882	n/a	103883	STI101	50
105.956	n/a	105957	STI101	50
108.432	n/a	108433	STI101	40
110.757	n/a	110758	STI101	35
112.961	n/a	112962	STI101	55
113.314	n/a	113315	STI101	16384
115.336	n/a	115337	STI101	35
117.501	n/a	117502	STI101	55
117.8	n/a	117801	STI101	16384
119.666	n/a	119667	STI101	35
122.041	n/a	122042	STI101	35
124.225	n/a	124226	STI101	35
126.45	n/a	126451	STI101	35
128.895	n/a	128896	STI101	55
129.281	n/a	129282	STI101	16384
131.04	n/a	131041	STI101	55
131.352	n/a	131353	STI101	16384
133.345	n/a	133346	STI101	45
135.67	n/a	135671	STI101	45
138.105	n/a	138106	STI101	40
140.34	n/a	140341	STI101	35
142.835	n/a	142836	STI101	35
145	n/a	145001	STI101	50
147.144	n/a	147145	STI101	35
149.199	n/a	149200	STI101	55
149.712	n/a	149713	STI101	16384
151.263	n/a	151264	STI101	35
153.327	n/a	153328	STI101	35
155.602	n/a	155603	STI101	50
157.657	n/a	157658	STI101	40
160.042	n/a	160043	STI101	40
162.447	n/a	162448	STI101	45
164.682	n/a	164683	STI101	35
167.147	n/a	167148	STI101	50
169.211	n/a	169212	STI101	35
171.566	n/a	171567	STI101	55
171.878	n/a	171879	STI101	16384
173.871	n/a	173872	STI101	50
175.906	n/a	175907	STI101	40
178.02	n/a	178021	STI101	40
180.255	n/a	180256	STI101	45
182.289	n/a	182290	STI101	40
184.454	n/a	184455	STI101	45
186.749	n/a	186750	STI101	35
189.224	n/a	189225	STI101	50
191.329	n/a	191330	STI101	55
191.781	n/a	191782	STI101	16384
193.423	n/a	193424	STI101	50
195.538	n/a	195539	STI101	50
197.973	n/a	197974	STI101	50
200.308	n/a	200309	STI101	50
202.723	n/a	202724	STI101	45
204.878	n/a	204879	STI101	35
207.373	n/a	207374	STI101	40
209.738	n/a	209739	STI101	50
212.023	n/a	212024	STI101	45
214.488	n/a	214489	STI101	45
216.693	n/a	216694	STI101	55
