onset	duration	sample	type	value
0.52	n/a	521	STI101	10
2.784	n/a	2785	STI101	30
3.6	n/a	3601	STI101	16384
5.069	n/a	5070	STI101	15
7.154	n/a	7155	STI101	10
9.439	n/a	9440	STI101	10
11.794	n/a	11795	STI101	15
14.018	n/a	14019	STI101	20
16.444	n/a	16445	STI101	15
18.819	n/a	18820	STI101	20
21.003	n/a	21004	STI101	15
23.238	n/a	23239	STI101	10
25.443	n/a	25444	STI101	30
25.942	n/a	25943	STI101	16384
27.838	n/a	27839	STI101	15
30.213	n/a	30214	STI101	10
32.438	n/a	32439	STI101	15
34.793	n/a	34794	STI101	30
35.421	n/a	35422	STI101	16384
37.278	n/a	37279	STI101	30
37.916	n/a	37917	STI101	16384
39.683	n/a	39684	STI101	20
42.048	n/a	42049	STI101	10
44.113	n/a	44114	STI101	10
46.317	n/a	46318	STI101	30
46.834	n/a	46835	STI101	16384
48.622	n/a	48623	STI101	10
50.857	n/a	50858	STI101	30
51.513	n/a	51514	STI101	16384
52.891	n/a	52892	STI101	20
55.016	n/a	55017	STI101	10
57.441	n/a	57442	STI101	10
59.456	n/a	59457	STI101	25
61.901	n/a	61902	STI101	15
63.945	n/a	63946	STI101	25
66.29	n/a	66291	STI101	30
66.864	n/a	66865	STI101	16384
68.545	n/a	68546	STI101	25
70.659	n/a	70660	STI101	10
72.954	n/a	72955	STI101	15
75.029	n/a	75030	STI101	10
77.374	n/a	77375	STI101	15
79.679	n/a	79680	STI101	10
81.713	n/a	81714	STI101	20
83.747	n/a	83748	STI101	15
85.832	n/a	85833	STI101	10
87.846	n/a	87847	STI101	10
90.071	n/a	90072	STI101	15
92.496	n/a	92497	STI101	15
94.811	n/a	94812	STI101	15
97.076	n/a	97077	STI101	20
99.521	n/a	99522	STI101	15
101.586	n/a	101587	STI101	20
104.051	n/a	104052	STI101	10
106.115	n/a	106116	STI101	10
108.38	n/a	108381	STI101	15
110.464	n/a	110465	STI101	10
112.749	n/a	112750	STI101	30
113.269	n/a	113270	STI101	16384
114.764	n/a	114765	STI101	10
117.159	n/a	117160	STI101	10
119.594	n/a	119595	STI101	15
122.059	n/a	122060	STI101	30
122.561	n/a	122562	STI101	16384
124.565	n/a	124566	STI101	10
126.829	n/a	126830	STI101	30
127.257	n/a	127258	STI101	16384
128.974	n/a	128975	STI101	30
129.488	n/a	129489	STI101	16384
131.028	n/a	131029	STI101	20
133.293	n/a	133294	STI101	30
133.641	n/a	133642	STI101	16384
135.598	n/a	135599	STI101	25
137.993	n/a	137994	STI101	15
140.048	n/a	140049	STI101	15
142.383	n/a	142384	STI101	30
142.891	n/a	142892	STI101	16384
151.169	n/a	151170	STI101	201
156.071	n/a	156072	STI101	201
