onset	duration	sample	type	value
9.966	n/a	9967	STI101	50
11.99	n/a	11991	STI101	40
14.165	n/a	14166	STI101	35
16.66	n/a	16661	STI101	40
18.855	n/a	18856	STI101	35
21.019	n/a	21020	STI101	50
23.084	n/a	23085	STI101	35
25.549	n/a	25550	STI101	35
27.623	n/a	27624	STI101	40
29.798	n/a	29799	STI101	35
32.253	n/a	32254	STI101	35
34.508	n/a	34509	STI101	55
35.116	n/a	35117	STI101	16384
36.823	n/a	36824	STI101	40
39.128	n/a	39129	STI101	55
39.792	n/a	39793	STI101	16384
41.483	n/a	41484	STI101	45
43.507	n/a	43508	STI101	35
45.782	n/a	45783	STI101	50
47.807	n/a	47808	STI101	35
50.232	n/a	50233	STI101	55
50.912	n/a	50913	STI101	16384
52.406	n/a	52407	STI101	35
54.842	n/a	54843	STI101	40
56.976	n/a	56977	STI101	40
59.271	n/a	59272	STI101	50
61.746	n/a	61747	STI101	55
62.322	n/a	62323	STI101	16384
63.781	n/a	63782	STI101	55
64.501	n/a	64502	STI101	16384
65.815	n/a	65816	STI101	45
67.829	n/a	67830	STI101	40
70.174	n/a	70175	STI101	45
72.479	n/a	72480	STI101	45
74.544	n/a	74545	STI101	35
76.949	n/a	76950	STI101	40
79.264	n/a	79265	STI101	40
81.308	n/a	81309	STI101	55
81.762	n/a	81763	STI101	16384
83.353	n/a	83354	STI101	50
85.427	n/a	85428	STI101	45
87.832	n/a	87833	STI101	35
89.887	n/a	89888	STI101	55
90.364	n/a	90365	STI101	16384
92.011	n/a	92012	STI101	40
94.146	n/a	94147	STI101	55
94.881	n/a	94882	STI101	16384
96.21	n/a	96211	STI101	40
98.645	n/a	98646	STI101	55
99.23	n/a	99231	STI101	16384
101	n/a	101001	STI101	35
103.375	n/a	103376	STI101	55
103.874	n/a	103875	STI101	16384
105.71	n/a	105711	STI101	55
106.269	n/a	106270	STI101	16384
107.975	n/a	107976	STI101	35
110.15	n/a	110151	STI101	40
112.485	n/a	112486	STI101	40
114.549	n/a	114550	STI101	55
115.058	n/a	115059	STI101	16384
116.634	n/a	116635	STI101	45
118.648	n/a	118649	STI101	55
119.211	n/a	119212	STI101	16384
121.143	n/a	121144	STI101	35
123.639	n/a	123640	STI101	40
125.713	n/a	125714	STI101	35
127.958	n/a	127959	STI101	55
128.542	n/a	128543	STI101	16384
130.293	n/a	130294	STI101	55
130.845	n/a	130846	STI101	16384
132.447	n/a	132448	STI101	35
134.833	n/a	134834	STI101	35
137.118	n/a	137119	STI101	55
137.734	n/a	137735	STI101	16384
139.342	n/a	139343	STI101	55
139.981	n/a	139982	STI101	16384
141.487	n/a	141488	STI101	35
143.872	n/a	143873	STI101	35
146.327	n/a	146328	STI101	35
148.702	n/a	148703	STI101	55
149.241	n/a	149242	STI101	16384
150.917	n/a	150918	STI101	35
153.392	n/a	153393	STI101	40
155.527	n/a	155528	STI101	35
157.802	n/a	157803	STI101	40
160.287	n/a	160288	STI101	40
162.432	n/a	162433	STI101	55
162.936	n/a	162937	STI101	16384
164.566	n/a	164567	STI101	50
167.041	n/a	167042	STI101	50
169.086	n/a	169087	STI101	45
171.24	n/a	171241	STI101	55
172.151	n/a	172152	STI101	16384
173.545	n/a	173546	STI101	55
174.116	n/a	174117	STI101	16384
175.66	n/a	175661	STI101	40
177.985	n/a	177986	STI101	40
180.39	n/a	180391	STI101	45
182.645	n/a	182646	STI101	40
184.98	n/a	184981	STI101	55
185.495	n/a	185496	STI101	16384
187.385	n/a	187386	STI101	55
188.095	n/a	188096	STI101	16384
189.509	n/a	189510	STI101	40
191.814	n/a	191815	STI101	35
193.879	n/a	193880	STI101	40
196.144	n/a	196145	STI101	40
198.569	n/a	198570	STI101	55
199.051	n/a	199052	STI101	16384
201.034	n/a	201035	STI101	50
203.289	n/a	203290	STI101	50
205.433	n/a	205434	STI101	45
207.768	n/a	207769	STI101	35
210.234	n/a	210235	STI101	45
212.499	n/a	212500	STI101	35
214.994	n/a	214995	STI101	55
215.631	n/a	215632	STI101	16384
217.098	n/a	217099	STI101	45
219.163	n/a	219164	STI101	35
221.317	n/a	221318	STI101	40
223.522	n/a	223523	STI101	35
225.737	n/a	225738	STI101	35
227.901	n/a	227902	STI101	40
230.256	n/a	230257	STI101	45
232.311	n/a	232312	STI101	55
233.11	n/a	233111	STI101	16384
234.526	n/a	234527	STI101	35
236.68	n/a	236681	STI101	40
238.845	n/a	238846	STI101	55
239.408	n/a	239409	STI101	16384
240.909	n/a	240910	STI101	55
241.518	n/a	241519	STI101	16384
243.214	n/a	243215	STI101	40
245.369	n/a	245370	STI101	35
247.453	n/a	247454	STI101	45
249.457	n/a	249458	STI101	48
249.458	n/a	249459	STI101	50
251.612	n/a	251613	STI101	45
253.897	n/a	253898	STI101	55
254.462	n/a	254463	STI101	16384
256.342	n/a	256343	STI101	40
258.377	n/a	258378	STI101	50
260.842	n/a	260843	STI101	50
262.916	n/a	262917	STI101	50
265.341	n/a	265342	STI101	55
265.87	n/a	265871	STI101	16384
267.747	n/a	267748	STI101	40
270.212	n/a	270213	STI101	35
272.286	n/a	272287	STI101	35
274.551	n/a	274552	STI101	35
276.766	n/a	276767	STI101	35
278.86	n/a	278861	STI101	35
281.155	n/a	281156	STI101	40
283.47	n/a	283471	STI101	40
285.585	n/a	285586	STI101	35
287.85	n/a	287851	STI101	40
290.355	n/a	290356	STI101	55
290.977	n/a	290978	STI101	16384
292.61	n/a	292611	STI101	40
294.965	n/a	294966	STI101	40
297.179	n/a	297180	STI101	40
299.204	n/a	299205	STI101	40
301.358	n/a	301359	STI101	40
303.774	n/a	303775	STI101	50
305.958	n/a	305959	STI101	40
308.013	n/a	308014	STI101	35
310.277	n/a	310278	STI101	55
310.954	n/a	310955	STI101	16384
312.472	n/a	312473	STI101	40
314.847	n/a	314848	STI101	40
317.122	n/a	317123	STI101	50
319.537	n/a	319538	STI101	40
321.952	n/a	321953	STI101	35
324.057	n/a	324058	STI101	40
326.131	n/a	326132	STI101	55
326.806	n/a	326807	STI101	16384
328.557	n/a	328558	STI101	40
330.881	n/a	330882	STI101	35
332.896	n/a	332897	STI101	55
333.651	n/a	333652	STI101	16384
335.351	n/a	335352	STI101	55
335.933	n/a	335934	STI101	16384
337.616	n/a	337617	STI101	50
339.901	n/a	339902	STI101	55
340.511	n/a	340512	STI101	16384
342.216	n/a	342217	STI101	35
344.601	n/a	344602	STI101	50
347.036	n/a	347037	STI101	50
349.241	n/a	349242	STI101	35
351.295	n/a	351296	STI101	55
351.911	n/a	351912	STI101	16384
353.67	n/a	353671	STI101	45
355.845	n/a	355846	STI101	40
358.27	n/a	358271	STI101	50
360.465	n/a	360466	STI101	55
361.126	n/a	361127	STI101	16384
362.89	n/a	362891	STI101	35
364.985	n/a	364986	STI101	35
367.059	n/a	367060	STI101	40
369.504	n/a	369505	STI101	40
371.538	n/a	371539	STI101	45
373.893	n/a	373894	STI101	45
376.268	n/a	376269	STI101	35
378.493	n/a	378494	STI101	55
379.062	n/a	379063	STI101	16384
380.688	n/a	380689	STI101	40
383.183	n/a	383184	STI101	55
383.762	n/a	383763	STI101	16384
385.388	n/a	385389	STI101	45
387.613	n/a	387614	STI101	55
388.321	n/a	388322	STI101	16384
389.697	n/a	389698	STI101	40
391.872	n/a	391873	STI101	55
392.44	n/a	392441	STI101	16384
394.036	n/a	394037	STI101	35
396.492	n/a	396493	STI101	45
398.626	n/a	398627	STI101	50
400.791	n/a	400792	STI101	50
403.006	n/a	403007	STI101	50
405.371	n/a	405372	STI101	45
407.455	n/a	407456	STI101	35
409.9	n/a	409901	STI101	55
410.449	n/a	410450	STI101	16384
411.955	n/a	411956	STI101	35
414.19	n/a	414191	STI101	40
416.214	n/a	416215	STI101	40
418.599	n/a	418600	STI101	35
420.954	n/a	420955	STI101	45
423.068	n/a	423069	STI101	35
425.413	n/a	425414	STI101	40
427.698	n/a	427699	STI101	50
430.134	n/a	430135	STI101	45
432.418	n/a	432419	STI101	35
434.874	n/a	434875	STI101	35
437.088	n/a	437089	STI101	35
439.273	n/a	439274	STI101	40
441.528	n/a	441529	STI101	40
443.662	n/a	443663	STI101	55
444.198	n/a	444199	STI101	16384
446.138	n/a	446139	STI101	35
448.383	n/a	448384	STI101	55
448.984	n/a	448985	STI101	16384
450.517	n/a	450518	STI101	55
451.079	n/a	451080	STI101	16384
452.742	n/a	452743	STI101	50
455.107	n/a	455108	STI101	40
457.322	n/a	457323	STI101	40
459.426	n/a	459427	STI101	35
461.861	n/a	461862	STI101	40
464.166	n/a	464167	STI101	55
464.901	n/a	464902	STI101	16384
466.361	n/a	466362	STI101	40
468.486	n/a	468487	STI101	35
470.61	n/a	470611	STI101	55
471.297	n/a	471298	STI101	16384
472.875	n/a	472876	STI101	50
475.1	n/a	475101	STI101	40
477.485	n/a	477486	STI101	35
479.529	n/a	479530	STI101	55
480.102	n/a	480103	STI101	16384
481.964	n/a	481965	STI101	35
484.309	n/a	484310	STI101	55
484.914	n/a	484915	STI101	16384
486.384	n/a	486385	STI101	55
487.008	n/a	487009	STI101	16384
488.819	n/a	488820	STI101	45
490.923	n/a	490924	STI101	35
493.238	n/a	493239	STI101	40
495.523	n/a	495524	STI101	55
496.084	n/a	496085	STI101	16384
497.618	n/a	497619	STI101	45
499.632	n/a	499633	STI101	35
502.027	n/a	502028	STI101	45
504.422	n/a	504423	STI101	35
