onset	duration	sample	type	value
1.198	n/a	1199	STI101	20
3.584	n/a	3585	STI101	15
5.698	n/a	5699	STI101	30
6.939	n/a	6940	STI101	16384
7.11	n/a	7111	STI101	16384
7.823	n/a	7824	STI101	10
9.837	n/a	9838	STI101	10
12.142	n/a	12143	STI101	25
14.276	n/a	14277	STI101	25
16.782	n/a	16783	STI101	30
17.847	n/a	17848	STI101	16384
18.033	n/a	18034	STI101	16384
19.257	n/a	19258	STI101	30
20.475	n/a	20476	STI101	16384
20.647	n/a	20648	STI101	16384
21.642	n/a	21643	STI101	30
22.638	n/a	22639	STI101	16384
22.82	n/a	22821	STI101	16384
24.087	n/a	24088	STI101	20
26.412	n/a	26413	STI101	15
28.787	n/a	28788	STI101	10
31.183	n/a	31184	STI101	25
33.387	n/a	33388	STI101	20
35.482	n/a	35483	STI101	20
37.666	n/a	37667	STI101	20
39.721	n/a	39722	STI101	20
42.176	n/a	42177	STI101	10
44.561	n/a	44562	STI101	20
46.626	n/a	46627	STI101	25
49.041	n/a	49042	STI101	10
51.155	n/a	51156	STI101	25
53.641	n/a	53642	STI101	15
56.026	n/a	56027	STI101	15
58.21	n/a	58211	STI101	15
60.285	n/a	60286	STI101	10
62.309	n/a	62310	STI101	10
64.634	n/a	64635	STI101	10
67.089	n/a	67090	STI101	15
69.314	n/a	69315	STI101	25
71.358	n/a	71359	STI101	10
73.593	n/a	73594	STI101	15
75.798	n/a	75799	STI101	10
77.882	n/a	77883	STI101	10
80.057	n/a	80058	STI101	15
82.212	n/a	82213	STI101	30
83.443	n/a	83444	STI101	16384
83.669	n/a	83670	STI101	16384
84.306	n/a	84307	STI101	15
86.651	n/a	86652	STI101	25
89.116	n/a	89117	STI101	25
91.421	n/a	91422	STI101	10
93.696	n/a	93697	STI101	10
96.121	n/a	96122	STI101	30
97.205	n/a	97206	STI101	16384
97.379	n/a	97380	STI101	16384
98.346	n/a	98347	STI101	10
100.591	n/a	100592	STI101	20
102.916	n/a	102917	STI101	10
105.401	n/a	105402	STI101	20
107.826	n/a	107827	STI101	10
110.151	n/a	110152	STI101	10
112.546	n/a	112547	STI101	30
114.751	n/a	114752	STI101	20
117.206	n/a	117207	STI101	10
119.231	n/a	119232	STI101	20
121.325	n/a	121326	STI101	15
123.57	n/a	123571	STI101	15
125.985	n/a	125986	STI101	30
127.588	n/a	127589	STI101	16384
127.783	n/a	127784	STI101	16384
128.47	n/a	128471	STI101	30
129.315	n/a	129316	STI101	16384
129.495	n/a	129496	STI101	16384
130.655	n/a	130656	STI101	30
131.406	n/a	131407	STI101	16384
131.602	n/a	131603	STI101	16384
132.97	n/a	132971	STI101	15
135.275	n/a	135276	STI101	25
137.54	n/a	137541	STI101	10
139.674	n/a	139675	STI101	25
141.979	n/a	141980	STI101	15
144.074	n/a	144075	STI101	15
146.569	n/a	146570	STI101	30
147.643	n/a	147644	STI101	16384
147.724	n/a	147725	STI101	16384
147.853	n/a	147854	STI101	16384
148.774	n/a	148775	STI101	15
150.798	n/a	150799	STI101	25
153.053	n/a	153054	STI101	25
155.208	n/a	155209	STI101	25
157.673	n/a	157674	STI101	20
159.797	n/a	159798	STI101	15
162.112	n/a	162113	STI101	20
164.477	n/a	164478	STI101	15
166.532	n/a	166533	STI101	15
169.007	n/a	169008	STI101	15
171.262	n/a	171263	STI101	10
173.266	n/a	173267	STI101	15
175.29	n/a	175291	STI101	10
177.786	n/a	177787	STI101	15
179.88	n/a	179881	STI101	10
182.245	n/a	182246	STI101	10
184.711	n/a	184712	STI101	25
187.006	n/a	187007	STI101	30
187.89	n/a	187891	STI101	16384
188.126	n/a	188127	STI101	16384
189.351	n/a	189352	STI101	10
191.665	n/a	191666	STI101	20
193.73	n/a	193731	STI101	30
194.553	n/a	194554	STI101	16384
194.718	n/a	194719	STI101	16384
196.215	n/a	196216	STI101	10
198.52	n/a	198521	STI101	10
200.735	n/a	200736	STI101	25
202.769	n/a	202770	STI101	25
204.854	n/a	204855	STI101	10
207.159	n/a	207160	STI101	20
209.393	n/a	209394	STI101	15
211.768	n/a	211769	STI101	30
212.524	n/a	212525	STI101	16384
214.083	n/a	214084	STI101	10
216.228	n/a	216229	STI101	10
218.723	n/a	218724	STI101	10
221.098	n/a	221099	STI101	25
223.443	n/a	223444	STI101	30
224.492	n/a	224493	STI101	16384
225.528	n/a	225529	STI101	25
227.953	n/a	227954	STI101	30
228.735	n/a	228736	STI101	16384
228.889	n/a	228890	STI101	16384
230.358	n/a	230359	STI101	10
232.723	n/a	232724	STI101	20
234.878	n/a	234879	STI101	10
237.113	n/a	237114	STI101	30
238.195	n/a	238196	STI101	16384
238.373	n/a	238374	STI101	16384
239.197	n/a	239198	STI101	10
248.144	n/a	248145	STI101	201
253.005	n/a	253006	STI101	201
