onset	duration	sample	type	value
1.262	n/a	1263	STI101	55
1.589	n/a	1590	STI101	16384
1.665	n/a	1666	STI101	16384
1.774	n/a	1775	STI101	16384
3.648	n/a	3649	STI101	55
3.972	n/a	3973	STI101	16384
4.036	n/a	4037	STI101	16384
4.141	n/a	4142	STI101	16384
6.003	n/a	6004	STI101	50
8.017	n/a	8018	STI101	40
10.422	n/a	10423	STI101	55
10.736	n/a	10737	STI101	16384
10.801	n/a	10802	STI101	16384
10.907	n/a	10908	STI101	16384
12.476	n/a	12477	STI101	40
14.651	n/a	14652	STI101	40
17.086	n/a	17087	STI101	35
19.391	n/a	19392	STI101	40
21.606	n/a	21607	STI101	35
24.061	n/a	24062	STI101	45
26.416	n/a	26417	STI101	55
26.75	n/a	26751	STI101	16384
26.926	n/a	26927	STI101	16384
28.711	n/a	28712	STI101	50
31.096	n/a	31097	STI101	40
33.271	n/a	33272	STI101	50
35.736	n/a	35737	STI101	50
38.031	n/a	38032	STI101	45
40.536	n/a	40537	STI101	35
42.861	n/a	42862	STI101	55
43.272	n/a	43273	STI101	16384
43.322	n/a	43323	STI101	16384
43.442	n/a	43443	STI101	16384
45.196	n/a	45197	STI101	45
47.411	n/a	47412	STI101	45
49.906	n/a	49907	STI101	50
52.321	n/a	52322	STI101	45
54.566	n/a	54567	STI101	35
56.901	n/a	56902	STI101	50
58.996	n/a	58997	STI101	45
61.21	n/a	61211	STI101	50
63.616	n/a	63617	STI101	50
65.65	n/a	65651	STI101	45
67.774	n/a	67775	STI101	55
68.096	n/a	68097	STI101	16384
68.153	n/a	68154	STI101	16384
68.265	n/a	68266	STI101	16384
70.17	n/a	70171	STI101	55
70.54	n/a	70541	STI101	16384
70.591	n/a	70592	STI101	16384
70.697	n/a	70698	STI101	16384
72.214	n/a	72215	STI101	35
74.228	n/a	74229	STI101	55
74.566	n/a	74567	STI101	16384
74.624	n/a	74625	STI101	16384
74.719	n/a	74720	STI101	16384
76.643	n/a	76644	STI101	55
76.974	n/a	76975	STI101	16384
77.032	n/a	77033	STI101	16384
77.133	n/a	77134	STI101	16384
78.968	n/a	78969	STI101	55
79.286	n/a	79287	STI101	16384
79.362	n/a	79363	STI101	16384
79.447	n/a	79448	STI101	16384
81.023	n/a	81024	STI101	35
83.338	n/a	83339	STI101	55
83.689	n/a	83690	STI101	16384
83.864	n/a	83865	STI101	16384
85.693	n/a	85694	STI101	40
88.178	n/a	88179	STI101	55
88.47	n/a	88471	STI101	16384
88.677	n/a	88678	STI101	16384
90.513	n/a	90514	STI101	55
90.8	n/a	90801	STI101	16384
90.991	n/a	90992	STI101	16384
92.547	n/a	92548	STI101	55
92.887	n/a	92888	STI101	16384
93.051	n/a	93052	STI101	16384
94.792	n/a	94793	STI101	35
96.847	n/a	96848	STI101	40
99.061	n/a	99062	STI101	40
101.176	n/a	101177	STI101	35
103.611	n/a	103612	STI101	50
105.635	n/a	105636	STI101	40
108.131	n/a	108132	STI101	35
110.536	n/a	110537	STI101	50
112.62	n/a	112621	STI101	40
115.126	n/a	115127	STI101	40
117.2	n/a	117201	STI101	55
117.651	n/a	117652	STI101	16384
117.715	n/a	117716	STI101	16384
117.841	n/a	117842	STI101	16384
119.685	n/a	119686	STI101	55
120.08	n/a	120081	STI101	16384
120.122	n/a	120123	STI101	16384
120.276	n/a	120277	STI101	16384
122.05	n/a	122051	STI101	45
124.446	n/a	124447	STI101	55
124.787	n/a	124788	STI101	16384
124.86	n/a	124861	STI101	16384
124.962	n/a	124963	STI101	16384
126.53	n/a	126531	STI101	45
128.945	n/a	128946	STI101	40
131.03	n/a	131031	STI101	55
131.387	n/a	131388	STI101	16384
