onset	duration	sample	type	value
1.215	n/a	1216	STI101	50
3.6	n/a	3601	STI101	50
5.714	n/a	5715	STI101	45
7.939	n/a	7940	STI101	55
8.373	n/a	8374	STI101	16384
10.244	n/a	10245	STI101	35
12.258	n/a	12259	STI101	35
14.684	n/a	14685	STI101	35
16.898	n/a	16899	STI101	40
18.933	n/a	18934	STI101	55
19.25	n/a	19251	STI101	16384
21.157	n/a	21158	STI101	35
23.573	n/a	23574	STI101	55
24.105	n/a	24106	STI101	16384
25.827	n/a	25828	STI101	50
28.273	n/a	28274	STI101	55
28.824	n/a	28825	STI101	16384
30.628	n/a	30629	STI101	55
31.112	n/a	31113	STI101	16384
33.003	n/a	33004	STI101	45
35.147	n/a	35148	STI101	35
37.322	n/a	37323	STI101	35
39.657	n/a	39658	STI101	35
41.872	n/a	41873	STI101	40
44.257	n/a	44258	STI101	55
44.616	n/a	44617	STI101	16384
46.401	n/a	46402	STI101	40
48.696	n/a	48697	STI101	35
51.192	n/a	51193	STI101	45
53.687	n/a	53688	STI101	45
56.072	n/a	56073	STI101	55
56.576	n/a	56577	STI101	16384
58.277	n/a	58278	STI101	50
60.441	n/a	60442	STI101	40
62.516	n/a	62517	STI101	50
64.811	n/a	64812	STI101	55
65.215	n/a	65216	STI101	16384
67.286	n/a	67287	STI101	55
67.835	n/a	67836	STI101	16384
69.711	n/a	69712	STI101	55
70.132	n/a	70133	STI101	16384
72.176	n/a	72177	STI101	35
74.321	n/a	74322	STI101	40
76.536	n/a	76537	STI101	55
76.972	n/a	76973	STI101	16384
79.041	n/a	79042	STI101	35
81.426	n/a	81427	STI101	40
83.771	n/a	83772	STI101	50
85.856	n/a	85857	STI101	40
87.99	n/a	87991	STI101	35
90.475	n/a	90476	STI101	55
91.015	n/a	91016	STI101	16384
92.911	n/a	92912	STI101	35
95.246	n/a	95247	STI101	55
95.631	n/a	95632	STI101	16384
97.36	n/a	97361	STI101	35
99.525	n/a	99526	STI101	50
101.8	n/a	101801	STI101	50
104.075	n/a	104076	STI101	45
106.169	n/a	106170	STI101	40
108.374	n/a	108375	STI101	35
110.598	n/a	110599	STI101	35
112.853	n/a	112854	STI101	35
114.868	n/a	114869	STI101	35
117.072	n/a	117073	STI101	55
117.551	n/a	117552	STI101	16384
119.437	n/a	119438	STI101	45
121.582	n/a	121583	STI101	45
124.077	n/a	124078	STI101	55
124.509	n/a	124510	STI101	16384
126.532	n/a	126533	STI101	35
128.837	n/a	128838	STI101	40
131.062	n/a	131063	STI101	40
133.507	n/a	133508	STI101	40
135.762	n/a	135763	STI101	35
138.137	n/a	138138	STI101	50
140.302	n/a	140303	STI101	35
142.757	n/a	142758	STI101	40
144.942	n/a	144943	STI101	35
147.086	n/a	147087	STI101	45
149.532	n/a	149533	STI101	55
149.946	n/a	149947	STI101	16384
151.656	n/a	151657	STI101	50
153.871	n/a	153872	STI101	55
154.271	n/a	154272	STI101	16384
155.915	n/a	155916	STI101	50
158.08	n/a	158081	STI101	45
160.224	n/a	160225	STI101	35
162.299	n/a	162300	STI101	50
164.674	n/a	164675	STI101	55
165.058	n/a	165059	STI101	16384
167.039	n/a	167040	STI101	40
169.264	n/a	169265	STI101	35
171.418	n/a	171419	STI101	50
173.603	n/a	173604	STI101	55
173.998	n/a	173999	STI101	16384
175.627	n/a	175628	STI101	35
178.073	n/a	178074	STI101	50
180.237	n/a	180238	STI101	50
182.532	n/a	182533	STI101	55
182.947	n/a	182948	STI101	16384
184.727	n/a	184728	STI101	40
186.741	n/a	186742	STI101	40
189.016	n/a	189017	STI101	40
191.351	n/a	191352	STI101	55
191.959	n/a	191960	STI101	16384
193.526	n/a	193527	STI101	35
195.871	n/a	195872	STI101	55
197.895	n/a	197896	STI101	35
200.019	n/a	200020	STI101	40
202.344	n/a	202345	STI101	40
204.689	n/a	204690	STI101	45
207.014	n/a	207015	STI101	35
209.049	n/a	209050	STI101	50
211.304	n/a	211305	STI101	35
213.679	n/a	213680	STI101	55
214.099	n/a	214100	STI101	16384
216.094	n/a	216095	STI101	45
218.599	n/a	218600	STI101	35
220.904	n/a	220905	STI101	45
222.998	n/a	222999	STI101	45
225.143	n/a	225144	STI101	35
233.819	n/a	233820	STI101	202
238.711	n/a	238712	STI101	202
