onset	duration	sample	type	value
11.614	n/a	11615	STI101	15
14.069	n/a	14070	STI101	15
16.464	n/a	16465	STI101	20
18.599	n/a	18600	STI101	30
18.968	n/a	18969	STI101	16384
21.104	n/a	21105	STI101	15
23.139	n/a	23140	STI101	10
25.323	n/a	25324	STI101	30
25.769	n/a	25770	STI101	16384
27.668	n/a	27669	STI101	20
29.703	n/a	29704	STI101	15
31.737	n/a	31738	STI101	15
34.032	n/a	34033	STI101	30
34.406	n/a	34407	STI101	16384
36.367	n/a	36368	STI101	15
38.491	n/a	38492	STI101	15
40.816	n/a	40817	STI101	10
43.091	n/a	43092	STI101	20
45.356	n/a	45357	STI101	15
47.711	n/a	47712	STI101	15
49.906	n/a	49907	STI101	10
52.221	n/a	52222	STI101	30
52.605	n/a	52606	STI101	16384
54.385	n/a	54386	STI101	30
54.778	n/a	54779	STI101	16384
56.44	n/a	56441	STI101	10
58.785	n/a	58786	STI101	30
59.177	n/a	59178	STI101	16384
60.809	n/a	60810	STI101	15
63.014	n/a	63015	STI101	15
65.058	n/a	65059	STI101	10
67.213	n/a	67214	STI101	15
69.327	n/a	69328	STI101	15
71.692	n/a	71693	STI101	20
74.057	n/a	74058	STI101	10
76.422	n/a	76423	STI101	15
78.607	n/a	78608	STI101	30
79.121	n/a	79122	STI101	16384
80.892	n/a	80893	STI101	15
83.077	n/a	83078	STI101	30
83.492	n/a	83493	STI101	16384
85.552	n/a	85553	STI101	15
87.787	n/a	87788	STI101	10
89.851	n/a	89852	STI101	15
92.296	n/a	92297	STI101	15
94.321	n/a	94322	STI101	10
96.445	n/a	96446	STI101	10
98.53	n/a	98531	STI101	10
100.694	n/a	100695	STI101	15
102.829	n/a	102830	STI101	10
105.204	n/a	105205	STI101	10
107.529	n/a	107530	STI101	25
110.024	n/a	110025	STI101	25
112.199	n/a	112200	STI101	25
114.414	n/a	114415	STI101	15
116.658	n/a	116659	STI101	15
119.124	n/a	119125	STI101	10
121.419	n/a	121420	STI101	30
121.812	n/a	121813	STI101	16384
123.643	n/a	123644	STI101	25
125.878	n/a	125879	STI101	25
128.363	n/a	128364	STI101	30
128.758	n/a	128759	STI101	16384
130.668	n/a	130669	STI101	15
132.873	n/a	132874	STI101	20
135.158	n/a	135159	STI101	10
137.663	n/a	137664	STI101	15
140.068	n/a	140069	STI101	10
142.123	n/a	142124	STI101	25
144.317	n/a	144318	STI101	8
144.318	n/a	144319	STI101	10
146.713	n/a	146714	STI101	15
148.817	n/a	148818	STI101	15
151.002	n/a	151003	STI101	10
153.116	n/a	153117	STI101	30
153.538	n/a	153539	STI101	16384
155.131	n/a	155132	STI101	10
157.235	n/a	157236	STI101	30
157.642	n/a	157643	STI101	16384
