onset	duration	sample	type	value
10.447	n/a	10448	STI101	75
11.144	n/a	11145	STI101	16384
12.701	n/a	12702	STI101	65
14.715	n/a	14716	STI101	60
17.09	n/a	17091	STI101	65
19.295	n/a	19296	STI101	60
21.319	n/a	21320	STI101	65
23.644	n/a	23645	STI101	60
25.869	n/a	25870	STI101	60
28.174	n/a	28175	STI101	75
28.622	n/a	28623	STI101	16384
30.489	n/a	30490	STI101	75
31.028	n/a	31029	STI101	16384
32.724	n/a	32725	STI101	65
34.758	n/a	34759	STI101	70
37.123	n/a	37124	STI101	65
39.498	n/a	39499	STI101	75
39.928	n/a	39929	STI101	16384
41.713	n/a	41714	STI101	60
43.747	n/a	43748	STI101	70
46.232	n/a	46233	STI101	60
48.678	n/a	48679	STI101	65
51.103	n/a	51104	STI101	60
53.338	n/a	53339	STI101	75
53.743	n/a	53744	STI101	16384
55.793	n/a	55794	STI101	65
58.228	n/a	58229	STI101	70
60.563	n/a	60564	STI101	65
62.828	n/a	62829	STI101	70
64.872	n/a	64873	STI101	70
67.067	n/a	67068	STI101	60
69.191	n/a	69192	STI101	65
71.627	n/a	71628	STI101	75
72.075	n/a	72076	STI101	16384
73.952	n/a	73953	STI101	75
74.482	n/a	74483	STI101	16384
76.327	n/a	76328	STI101	60
78.411	n/a	78412	STI101	60
80.896	n/a	80897	STI101	65
83.101	n/a	83102	STI101	65
85.416	n/a	85417	STI101	65
87.821	n/a	87822	STI101	65
90.176	n/a	90177	STI101	60
92.181	n/a	92182	STI101	60
94.445	n/a	94446	STI101	60
96.951	n/a	96952	STI101	65
98.965	n/a	98966	STI101	70
100.989	n/a	100990	STI101	70
103.054	n/a	103055	STI101	60
105.369	n/a	105370	STI101	60
107.403	n/a	107404	STI101	60
109.618	n/a	109619	STI101	65
111.812	n/a	111813	STI101	75
112.374	n/a	112375	STI101	16384
114.168	n/a	114169	STI101	75
114.669	n/a	114670	STI101	16384
116.362	n/a	116363	STI101	70
118.537	n/a	118538	STI101	75
118.959	n/a	118960	STI101	16384
120.882	n/a	120883	STI101	60
123.187	n/a	123188	STI101	75
123.582	n/a	123583	STI101	16384
125.311	n/a	125312	STI101	70
127.506	n/a	127507	STI101	65
129.621	n/a	129622	STI101	75
130.11	n/a	130111	STI101	16384
131.755	n/a	131756	STI101	65
134.19	n/a	134191	STI101	70
136.415	n/a	136416	STI101	75
136.809	n/a	136810	STI101	16384
138.75	n/a	138751	STI101	75
139.293	n/a	139294	STI101	16384
141.025	n/a	141026	STI101	60
143.5	n/a	143501	STI101	75
143.925	n/a	143926	STI101	16384
145.675	n/a	145676	STI101	70
147.86	n/a	147861	STI101	60
150.245	n/a	150246	STI101	65
152.69	n/a	152691	STI101	70
154.714	n/a	154715	STI101	60
157.149	n/a	157150	STI101	75
157.543	n/a	157544	STI101	16384
159.565	n/a	159566	STI101	65
161.849	n/a	161850	STI101	60
164.074	n/a	164075	STI101	60
166.379	n/a	166380	STI101	65
168.554	n/a	168555	STI101	65
170.949	n/a	170950	STI101	70
173.003	n/a	173004	STI101	60
175.238	n/a	175239	STI101	65
177.633	n/a	177634	STI101	75
178.058	n/a	178059	STI101	16384
179.958	n/a	179959	STI101	70
181.972	n/a	181973	STI101	65
183.987	n/a	183988	STI101	65
186.221	n/a	186222	STI101	75
186.626	n/a	186627	STI101	16384
188.346	n/a	188347	STI101	60
190.541	n/a	190542	STI101	60
192.765	n/a	192766	STI101	75
193.181	n/a	193182	STI101	16384
194.8	n/a	194801	STI101	60
196.994	n/a	196995	STI101	64
196.995	n/a	196996	STI101	65
199.189	n/a	199190	STI101	65
201.344	n/a	201345	STI101	60
203.809	n/a	203810	STI101	70
206.054	n/a	206055	STI101	70
208.148	n/a	208149	STI101	60
210.303	n/a	210304	STI101	60
212.728	n/a	212729	STI101	60
215.043	n/a	215044	STI101	65
217.388	n/a	217389	STI101	75
217.923	n/a	217924	STI101	16384
219.703	n/a	219704	STI101	60
221.838	n/a	221839	STI101	65
224.283	n/a	224284	STI101	65
226.297	n/a	226298	STI101	60
228.492	n/a	228493	STI101	65
230.797	n/a	230798	STI101	75
231.203	n/a	231204	STI101	16384
233.272	n/a	233273	STI101	75
233.752	n/a	233753	STI101	16384
235.507	n/a	235508	STI101	65
237.732	n/a	237733	STI101	65
240.067	n/a	240068	STI101	65
242.462	n/a	242463	STI101	65
244.656	n/a	244657	STI101	65
246.891	n/a	246892	STI101	60
249.226	n/a	249227	STI101	70
251.601	n/a	251602	STI101	60
253.926	n/a	253927	STI101	75
254.323	n/a	254324	STI101	16384
256.331	n/a	256332	STI101	75
256.753	n/a	256754	STI101	16384
258.356	n/a	258357	STI101	60
260.41	n/a	260411	STI101	60
262.444	n/a	262445	STI101	60
264.529	n/a	264530	STI101	65
266.954	n/a	266955	STI101	70
269.239	n/a	269240	STI101	60
271.333	n/a	271334	STI101	60
273.809	n/a	273810	STI101	70
276.084	n/a	276085	STI101	65
278.509	n/a	278510	STI101	70
280.673	n/a	280674	STI101	60
282.798	n/a	282799	STI101	60
285.153	n/a	285154	STI101	70
287.418	n/a	287419	STI101	65
289.572	n/a	289573	STI101	75
