onset	duration	sample	type	value
0.505	n/a	506	STI101	30
0.995	n/a	996	STI101	16384
2.7	n/a	2701	STI101	30
3.103	n/a	3104	STI101	16384
5.105	n/a	5106	STI101	15
7.129	n/a	7130	STI101	30
7.618	n/a	7619	STI101	16384
9.534	n/a	9535	STI101	10
11.559	n/a	11560	STI101	30
12.143	n/a	12144	STI101	16384
13.573	n/a	13574	STI101	15
15.808	n/a	15809	STI101	10
18.233	n/a	18234	STI101	10
20.638	n/a	20639	STI101	20
23.113	n/a	23114	STI101	15
25.218	n/a	25219	STI101	30
25.744	n/a	25745	STI101	16384
27.653	n/a	27654	STI101	15
29.788	n/a	29789	STI101	20
31.822	n/a	31823	STI101	30
32.223	n/a	32224	STI101	16384
34.317	n/a	34318	STI101	10
36.362	n/a	36363	STI101	30
36.881	n/a	36882	STI101	16384
38.486	n/a	38487	STI101	30
39.092	n/a	39093	STI101	16384
40.511	n/a	40512	STI101	10
42.585	n/a	42586	STI101	20
44.93	n/a	44931	STI101	15
46.954	n/a	46955	STI101	20
49.39	n/a	49391	STI101	15
51.544	n/a	51545	STI101	10
53.759	n/a	53760	STI101	20
56.094	n/a	56095	STI101	30
56.546	n/a	56547	STI101	16384
58.559	n/a	58560	STI101	10
60.714	n/a	60715	STI101	10
63.209	n/a	63210	STI101	10
65.604	n/a	65605	STI101	10
67.659	n/a	67660	STI101	15
69.753	n/a	69754	STI101	10
71.858	n/a	71859	STI101	25
73.912	n/a	73913	STI101	25
76.377	n/a	76378	STI101	30
76.757	n/a	76758	STI101	16384
78.412	n/a	78413	STI101	25
80.877	n/a	80878	STI101	30
81.331	n/a	81332	STI101	16384
82.951	n/a	82952	STI101	25
85.136	n/a	85137	STI101	15
87.261	n/a	87262	STI101	10
89.545	n/a	89546	STI101	25
91.84	n/a	91841	STI101	15
94.005	n/a	94006	STI101	30
94.878	n/a	94879	STI101	16384
96.4	n/a	96401	STI101	30
96.841	n/a	96842	STI101	16384
98.414	n/a	98415	STI101	30
98.75	n/a	98751	STI101	16384
100.559	n/a	100560	STI101	25
103.034	n/a	103035	STI101	15
105.459	n/a	105460	STI101	15
107.484	n/a	107485	STI101	15
109.979	n/a	109980	STI101	15
112.184	n/a	112185	STI101	15
114.449	n/a	114450	STI101	15
116.824	n/a	116825	STI101	30
117.312	n/a	117313	STI101	16384
119.109	n/a	119110	STI101	10
121.614	n/a	121615	STI101	15
123.889	n/a	123890	STI101	10
126.214	n/a	126215	STI101	25
128.388	n/a	128389	STI101	30
129.061	n/a	129062	STI101	16384
137.416	n/a	137417	STI101	201
142.307	n/a	142308	STI101	201
